Group,SampleSize,1,2,3,4,5,6
H1975,519,91.30 ,3.40 ,5.30 ,0.00 ,0.00 ,0.00 
H2228,461,4.60 ,89.10 ,6.30 ,0.00 ,0.00 ,0.00 
HCC827,421,3.30 ,6.20 ,90.50 ,0.00 ,0.00 ,0.00 
CD19+ B,2341,78.40 ,8.90 ,12.70 ,0.00 ,0.00 ,0.00 
CD4+/CD25 T Reg,4683,8.20 ,83.20 ,8.60 ,0.00 ,0.00 ,0.00 
CD56+ NK  ,5394,12.60 ,9.50 ,77.90 ,0.00 ,0.00 ,0.00 
2i,295,80.30 ,11.40 ,8.30 ,0.00 ,0.00 ,0.00 
a2i,159,11.40 ,79.50 ,9.10 ,0.00 ,0.00 ,0.00 
lif,250,12.60 ,10.80 ,76.60 ,0.00 ,0.00 ,0.00 
Dendritic,336,83.90 ,1.40 ,2.70 ,4.70 ,7.30 ,0.00 
Endothelial,621,2.60 ,81.20 ,1.50 ,5.90 ,8.80 ,0.00 
Erythroblast,199,6.30 ,2.80 ,79.30 ,9.00 ,2.60 ,0.00 
Kupffer,768,5.10 ,2.20 ,3.00 ,76.00 ,13.70 ,0.00 
T cell,192,6.20 ,4.80 ,5.60 ,17.30 ,66.10 ,0.00 
Endothelial,1,78.40 ,1.80 ,1.10 ,8.50 ,0.60 ,9.60 
Glandular,1,3.30 ,80.30 ,1.50 ,2.10 ,2.60 ,10.20 
Macrophage,1,1.50 ,0.70 ,78.10 ,1.30 ,5.40 ,13.00 
Muscle,1,5.80 ,1.80 ,2.30 ,80.60 ,1.30 ,8.20 
NK,1,1.60 ,2.00 ,4.70 ,1.90 ,82.50 ,7.30 
Stromal,1,3.40 ,3.80 ,1.20 ,2.90 ,3.10 ,85.60 
