Group,SampleSize,1,2,3,4,5,6
H1975,519,100,0,0,0,0,0
H2228,461,0,100,0,0,0,0
HCC827,421,0,0,100,0,0,0
CD19+ B,2341,80.9,9.3,9.8,0,0,0
CD4+/CD25 T Reg,4683,7.5,90.1,2.4,0,0,0
CD56+ NK  ,5394,3.4,11.4,85.2,0,0,0
2i,295,95.6,3.2,1.2,0,0,0
a2i,159,8.4,87.4,4.2,0,0,0
lif,250,4,3.6,92.4,0,0,0
Dendritic,336,72.6,8.9,3.5,6.4,8.6,0
Endothelial,621,10.2,73.6,7.8,2.5,5.9,0
Erythroblast,199,9.1,6.7,77.4,5.7,1.1,0
Kupffer,768,5.1,2.2,3,76,13.7,0
T cell,192,6.2,4.8,5.6,17.3,66.1,0
Endothelial,1,75.30 ,3.60 ,1.20 ,12.40 ,0.40 ,7.10 
Glandular,1,2.10 ,80.60 ,1.80 ,1.50 ,3.10 ,10.90 
Macrophage,1,2.90 ,2.80 ,78.80 ,0.90 ,5.20 ,9.40 
Muscle,1,6.20 ,1.50 ,2.70 ,81.20 ,1.60 ,6.80 
NK,1,2.30 ,1.90 ,8.30 ,1.50 ,78.90 ,7.10 
Stromal,1,0.90 ,1.20 ,0.50 ,0.70 ,1.30 ,95.40 
