Group,SampleSize,1,2,3,4,5,6
H1975,519,72.40 ,14.90 ,12.70 ,0.00 ,0.00 ,0.00 
H2228,461,10.70 ,70.30 ,19.00 ,0.00 ,0.00 ,0.00 
HCC827,421,14.70 ,11.50 ,73.80 ,0.00 ,0.00 ,0.00 
CD19+ B,2341,60.20 ,11.00 ,28.80 ,0.00 ,0.00 ,0.00 
CD4+/CD25 T Reg,4683,18.60 ,57.60 ,23.80 ,0.00 ,0.00 ,0.00 
CD56+ NK  ,5394,25.10 ,13.50 ,61.40 ,0.00 ,0.00 ,0.00 
2i,295,64.50 ,19.60 ,15.90 ,0.00 ,0.00 ,0.00 
a2i,159,21.30 ,68.60 ,10.10 ,0.00 ,0.00 ,0.00 
lif,250,19.60 ,14.70 ,65.70 ,0.00 ,0.00 ,0.00 
Dendritic,336,68.30 ,5.90 ,7.40 ,8.20 ,10.20 ,0.00 
Endothelial,621,3.90 ,70.30 ,8.20 ,9.80 ,7.80 ,0.00 
Erythroblast,199,7.30 ,4.60 ,69.20 ,9.10 ,9.80 ,0.00 
Kupffer,768,6.20 ,2.90 ,3.70 ,71.20 ,16.00 ,0.00 
T cell,192,6.50 ,5.10 ,4.20 ,15.40 ,68.80 ,0.00 
Endothelial,1,69.20 ,2.40 ,3.10 ,4.20 ,1.10 ,20.00 
Glandular,1,4.30 ,67.10 ,2.90 ,3.80 ,4.10 ,17.80 
Macrophage,1,2.80 ,1.10 ,65.20 ,1.90 ,7.10 ,21.90 
Muscle,1,8.10 ,2.20 ,1.70 ,67.60 ,3.20 ,17.20 
NK,1,3.30 ,1.80 ,6.90 ,3.20 ,65.40 ,19.40 
Stromal,1,2.80 ,2.70 ,1.60 ,3.60 ,2.20 ,87.10 
