Group,SampleSize,1,2,3,4,5,6
H1975,519,68.70 ,13.90 ,17.40 ,0.00 ,0.00 ,0.00 
H2228,461,12.20 ,71.50 ,16.30 ,0.00 ,0.00 ,0.00 
HCC827,421,14.20 ,15.10 ,70.70 ,0.00 ,0.00 ,0.00 
CD19+ B,2341,58.40 ,18.80 ,22.80 ,0.00 ,0.00 ,0.00 
CD4+/CD25 T Reg,4683,19.40 ,55.90 ,24.70 ,0.00 ,0.00 ,0.00 
CD56+ NK  ,5394,23.10 ,19.60 ,57.30 ,0.00 ,0.00 ,0.00 
2i,295,68.90 ,16.70 ,14.40 ,0.00 ,0.00 ,0.00 
a2i,159,18.30 ,67.70 ,14.00 ,0.00 ,0.00 ,0.00 
lif,250,15.40 ,15.40 ,69.20 ,0.00 ,0.00 ,0.00 
Dendritic,336,75.20 ,3.80 ,4.90 ,8.40 ,7.70 ,0.00 
Endothelial,621,4.90 ,71.80 ,6.50 ,7.70 ,9.10 ,0.00 
Erythroblast,199,8.20 ,6.60 ,73.60 ,7.10 ,4.50 ,0.00 
Kupffer,768,5.20 ,2.50 ,3.60 ,73.20 ,15.50 ,0.00 
T cell,192,2.50 ,4.40 ,3.10 ,14.60 ,75.40 ,0.00 
Endothelial,1,61.80 ,4.60 ,6.20 ,8.30 ,2.90 ,16.20 
Glandular,1,5.70 ,60.70 ,4.90 ,5.20 ,6.30 ,17.20 
Macrophage,1,3.40 ,1.80 ,63.90 ,3.30 ,8.20 ,19.40 
Muscle,1,9.20 ,3.10 ,2.20 ,60.50 ,4.60 ,20.40 
NK,1,3.90 ,2.60 ,8.10 ,4.50 ,61.90 ,19.00 
Stromal,1,2.90 ,2.20 ,1.50 ,3.60 ,1.20 ,88.60 
