"","TNFRSF12A","VIM","TMSB10","ASPM","ENO1","ACTB","HSP90AA1","RPS5","GSTP1","APLP2","FTL","HSP90AB1","MYH9","RPS16","RPS19","CAV1","HSPB1","RPL28","PFN1","YWHAE","GAPDH","RTN4","F3","CENPF","TGFBI","RPL5","HNRNPA2B1","CKS2","COX7C","RPL27","TOP2A","EIF5A","LDHA","CDK4","OS9","RPS6","RPLP1","RPL7P9","RPS2","RPS11","RPL11","SERBP1","CALM2","EGFR","IGFBP3","CDKN2A","UBC","HNRNPU","RPL30","TAGLN2","RPL26","YWHAB","TPM4","RPL13","FTH1","UBB","ARL6IP1","RPS9","CFL1","RPL38","RPL15","UBE2C","RPLP2","NPM1","RPS25","ZFP36L1","PTMA","RPL14","JPT1","AKR1C3","TUBB","PPIA","TOMM7","H4C3","RPS4X","ASPH","MT-CO2","MT-ND2","MT-CO1","MT-ND3","MT-ND4","MT-ATP6","MT-CO3","HLA-C","RACK1","MT-RNR2","RPS29","RPL13P12","RPS29","UBA52","RPS8P1","MTND1P23","GAS5","HLA-B","RPL9P8","RPS18P5","RPL5P17","RPS10","NEAT1","MALAT1"
"CELseq2_A1",1.59865784124778,5.3017864472698,2.18190489126809,3.73139579165957,3.05011680417333,3.752510514143,1.44567276214752,2.51296275463377,3.0610587372088,3.41913239307621,2.59363200760755,1.44872729848612,4.90077306230934,1.66552797852296,2.44557162331522,3.71831408953491,3.36854692798745,3.70422956876922,1.4571232693791,2.93618805599481,3.66931356970849,0,2.49081201585129,2.21830770945073,0.850560641319427,1.1565422988104,1.00970727383506,1.95950771920741,4.40372012513441,2.13374285163393,3.23370512204734,3.20550673676109,3.45592383722583,4.09391214376092,0.84029001002741,1.09055573595079,1.60261754388477,2.41775779296514,1.86791411785461,2.73027649137998,2.32070650812228,2.10267581166596,2.68826663608807,1.44066331626555,1.54140337053404,2.8373442434275,2.06625320762057,0,0.381404401554097,0.953604730876552,2.314449803622,2.2640985973055,2.68633249322793,1.2703098627811,0,0.963828886225013,2.80000911367581,1.48729325345468,2.6045716833165,2.36343010556963,0.775192935810908,0.349213347512042,1.76373311249091,2.64183919995675,1.10681300864608,1.88821981390105,1.49633560704858,3.42507922293319,1.0024776602802,1.97786165216375,0.59712518857196,1.8462823053574,1.03584531274739,1.72450863210325,1.49515921806669,0.766922209159983,0.430559238850708,1.37319952654876,2.27893739619569,0.346421025724965,1.30296277579209,2.83098353766022,1.86655521456811,0.365333950905106,2.61188241984667,2.14816018985124,3.33482084235681,1.10706156199479,0.787494426666999,1.16005977135404,0.336418644304102,0.796539534370756,2.85713755394547,1.47807215256087,2.25782276070022,1.67878622138907,2.27031247336274,2.29387282268791,2.25276318521376,1.20275810063676
"CELseq2_A10",4.9655951076365,4.60410117726135,2.87767048943033,2.36529768242212,4.95572891154334,3.13797339558544,3.51781224054868,3.15932149001559,3.33975358547973,3.55336434884093,1.81835236817747,3.61094206945153,3.47285053734822,2.44808683696657,2.69259962309478,3.44322229305198,2.54773274925272,3.5711653509162,2.21805480352991,1.73933661049006,1.46521312564812,3.14428582930561,3.45120569488313,2.68520534615625,2.50430855555529,2.58425586154931,1.59733301649077,1.68018372475625,3.31989769096696,2.66367829557147,3.78677649791881,2.25912172405719,2.78587232072847,3.23670922689258,2.02424999498687,2.28232797156174,2.44804763779685,2.45199614617791,2.37814735896223,3.27618686680948,3.09178136128909,1.57263265747696,2.65208855703958,2.92106841040102,2.74625325317784,2.5617808163638,3.23905170383231,3.13516067256306,2.98084076535062,2.95505645276482,1.39755405051192,2.60627662895404,2.90668890755914,3.03790792367801,3.79799856249928,0.530881512877611,2.85364433245467,2.38588517180199,3.2261004879444,2.39765458663902,0.748133079579008,1.89904751094605,2.17505455683964,2.70488462804553,1.93707312609384,2.75710315619819,2.55106824044692,2.64950303155513,3.05244934774533,3.40829598113856,1.84967727725177,2.55498375349835,0,2.29267964564551,1.67293100008796,1.01762060837085,1.77896802589304,3.58138342992715,2.65231116507442,2.82874467325591,1.86389110456978,2.52512194572,1.69600987864604,1.51189642776309,2.28530486562531,2.3498720538125,3.90813442784111,2.31509630104029,1.17629182738335,1.07499281276675,3.34593224025257,2.24506160012307,2.31340917491806,2.1813232056448,3.4171133423938,1.82483653249694,4.025606414748,2.69736738235196,2.82478031989527,1.83549613640724
"CELseq2_A11",2.87707990314066,5.25936937729217,0.872394157266167,3.00545748963539,3.77010802184166,4.11910568916894,0.470458901454726,2.59968303007229,3.18553522549182,3.39640857943041,2.9198216755054,3.08072860144372,4.41831405612577,4.26697705942036,2.66612570369689,3.70325297316508,2.82461537314332,3.39539518163604,2.71442749055218,2.67487173819715,2.50951023016169,1.31081152546271,3.13094299618954,3.50212820558012,1.98728266443802,2.05706036353606,3.65096392095621,1.61545166894902,4.40018629768628,2.73985514487326,2.95996497546375,3.65974550346826,3.87458090496244,3.98000231237781,1.67792879972754,2.02850971258433,2.7001320554617,3.02334044896036,2.42045508638434,2.7874903596481,2.77536446545664,2.39943526938589,3.24927913925688,2.42661406816581,2.16515147489248,2.52936260102299,2.76549680846158,1.75696363605984,0.951925421237781,1.93822884647299,2.54073571213485,2.31477069376811,2.77948853507634,2.7677588871176,2.2217666213715,1.73578657455388,2.66359841125672,2.6897176735685,2.82684811473386,2.50078022936209,1.8252858661623,2.56578767572139,2.34893378929978,3.0117383670966,1.90368797049562,2.53652383088765,1.86339699928894,2.5140095749242,0.787248428152361,4.01562801930992,2.07040960862173,1.85647522652814,0.509719399647369,1.45936520539432,0.812046244894811,2.54462321817238,0,2.83338798481509,2.61572154130405,2.02186814482055,2.62092597328279,2.6175151755707,1.87207245699968,1.58182588867777,2.34878002233957,2.19489528621828,3.26701980990623,1.00110104232974,1.7202422123555,1.6638470853213,1.81770242400937,2.41858573012652,2.81202837244928,1.14139197467606,2.55617486641427,1.9659524605162,2.56067253093218,2.31095671618439,2.30852495051229,3.15210134961812
"CELseq2_A13",5.01907112290952,4.53780859618966,3.01534320669298,2.64952459565447,3.63755246637824,3.35757003245368,3.8978925429621,3.46148590683678,3.55740894950134,3.67495198342075,1.76647656524879,3.72071388604532,3.4603374624602,1.96209817647333,3.09631102926058,3.20870107465897,2.45887059766101,3.43593009183902,1.61677136466186,1.79082763386679,1.99864820434596,3.436071995057,4.13019767660384,2.65933825455532,1.43992523212081,3.72193661096201,2.68567563604631,2.82477503373987,3.25584378948391,2.89382386049758,4.0075225919189,2.57635688730831,2.87620507932061,3.30198886681183,3.5853216440032,2.92601242623202,2.23432884284919,2.42221460435878,2.91817121141897,2.92922384610957,3.13376639047234,1.41227799567872,2.32105173763964,2.97821864904992,2.79454520598157,2.98752221955233,2.43558634915753,2.97059909303076,2.57831388092972,2.35984679121457,1.69982474858858,2.36353478008262,2.75575579682833,3.88464900818176,2.96460843444349,0.318096484356378,1.75156787861328,2.40603202284304,3.24765608343408,2.18374090857324,0.559326128657588,1.85040566270583,2.68821007122807,2.60116771840001,2.36103500543279,2.34670074477079,2.52738385244202,3.15608579761997,2.25079433840774,2.88164684456468,0.855472537425631,2.68319948844549,0,1.97420355057714,1.5506532287729,0.304214227114802,2.00455228062133,2.41825641951867,2.16693159185128,1.49778019912229,1.67183163049811,3.08971382301948,2.0259415925237,1.83593905212069,1.86470518472047,2.90570990274704,3.42626325381589,2.71756019794844,2.28526701768847,1.4469075643147,2.02671029528997,2.01950809831901,2.40734710942446,1.6158237697649,2.61443342950424,2.4191741310421,2.68492939845059,2.32418203170208,2.50191894860248,1.16817676107039
"CELseq2_A14",3.06388154642158,5.48335473730824,0.981392498667485,2.68019723964419,3.28289238574317,3.7393394950464,1.79621697813718,3.85414736785939,2.85733265191954,3.33592220163573,2.77611103033984,2.44578100724035,4.34626063285677,2.61113576981087,2.09334129356474,3.36822159937323,3.37190214610592,3.26997258723412,2.51443873426977,1.98678776104391,2.22922066822474,0.590763332361019,2.57566397133444,2.9351865562253,2.80931039054609,1.09171300527471,3.43326775981388,1.23647942528429,3.86066295364703,2.36637548009322,2.17377768490556,2.82388854673472,3.47703249768433,3.52612569923649,1.33046048390774,1.67137263721647,2.34054341343505,2.11883193344162,2.0512211291537,2.34341690318949,2.83326476020931,2.34893717676184,2.78646511207404,1.92149694195454,1.53786096450248,1.91140224910767,2.44021812070163,0.846498938563851,0.385182903858649,1.48720618197489,1.95122377615948,1.86129198820662,2.474160361489,2.33543564601202,1.30692728121557,1.68051849246581,2.21006702620683,1.96889083747058,2.57112643734574,2.37066757866408,1.50513105233164,2.70019585117754,2.39244265751329,2.24310244243273,1.78684147401345,2.03191077537894,1.53478634923766,2.12260343359532,1.40950886571351,3.00600011209354,1.23808634266771,2.33874368180868,0.380852822250571,1.3543982170984,0.810716645497574,2.22156507688423,0.168416874914295,1.97510667624052,2.08772464582701,1.44418009013869,2.01247716930485,2.15324223363466,1.47267482876452,1.11394486812003,2.56582281542092,2.59443592040073,2.92678693218285,1.07281694986361,1.74995199117632,0.968711426480163,0.873416145269968,1.94423829338374,2.42600699029385,0.836611101622529,2.40756548515812,1.57569890328312,2.36320881663319,1.52565046092813,1.9357938852534,1.95872258252453
"CELseq2_A15",3.7938883892234,4.73611994746455,1.65204132898655,4.34082948595113,4.28237834286758,2.9952252161154,3.20377057790262,3.55753059101545,3.64046804376189,4.69295520012297,2.87307464016394,2.36236328479094,3.57937204917395,3.55398077832586,2.65167661193256,2.93186696812327,2.23854515412875,4.0975194676814,0.719266360486623,3.44927004784514,4.20244526734757,1.12528877712025,3.15297729770603,2.7259241466777,1.39088288295297,2.20927687982549,1.62106016263711,2.33447732877261,2.95093205560612,2.9268046884454,3.34088278782484,3.13081093479489,2.22388034968154,2.80691001728267,1.24261621688842,2.31032989033481,2.41960442950181,3.20188479664824,3.0441254571314,3.39078901764386,2.69450309456085,2.15176319075349,3.66026634966081,2.4981412720231,2.93910361765636,3.04525611142252,2.56573582029509,0,0.527187253896549,2.08677310392685,2.88899722556273,2.54234748323232,3.00988403568903,2.93104517924013,2.34680813237953,0.803056028441495,2.96806967773782,2.79856113339278,2.77940618249265,3.39939758589672,1.4434998380562,1.78300798521664,2.8714061889294,2.67946494578171,2.12833730381061,2.63281169794902,2.07907990623463,3.36108144275917,1.89632635791855,3.09766005821129,2.05701713358579,2.59848352893276,1.96266812422446,1.89980988764348,2.10427217929025,0.91429039596664,0,2.86492045053426,2.50766137329892,2.64737595515301,1.83617737753804,2.57080262313262,2.44520300908868,1.62337762382007,1.30687031448565,2.04806697974731,3.76354102767047,1.91231717131829,1.49770588422208,2.09618896240703,2.16703535030228,1.69772660390711,3.21372924028141,1.90202909987125,3.20685685889047,2.29212134354501,2.95801427253724,2.09186011394789,1.85708397697853,2.57697707641453
"CELseq2_A16",4.19876131393797,5.57856658920727,2.12404912512477,2.04466741840869,4.06208017206046,4.12213834031756,3.2548561185488,2.42146058019359,2.73357874902496,3.43724908045443,1.32090323483601,3.399271023962,4.07037173428369,1.93729450477809,2.13981517553884,3.94730020223856,3.35284055190513,2.89976138038891,1.04742947409433,1.76108581591004,1.76655672585403,2.81354917165473,2.63779187608145,2.03136494940324,0.404652517125628,1.50362139193468,1.51903570768214,1.50848876901399,4.13074615692524,2.65427728246496,3.04365589290211,1.93085101969205,3.10280548173503,3.52522882123408,0.934285778973352,1.85641241325664,1.90953899925235,2.00467942841589,1.98881387678605,3.05379074142971,2.34680996662492,1.90682873776815,2.07717330410496,2.73855072240343,2.45713820822459,2.38210739572263,2.80251855823503,0.951815030314527,2.47422920963089,2.38400082799188,0.67356090344151,2.16689484241389,2.46896160103629,4.30639156821163,3.20459285804921,0.518610644593309,1.87639435063912,1.76661949677653,2.97489981143034,1.64898237535255,0.511859928865222,1.03909699363827,2.03555578332666,2.33145028949641,1.54950678836468,2.5838822529859,2.14666523924682,2.19771810919969,2.4184519536841,2.44452040435594,1.45797418028149,2.39251535856375,0,1.7470550984444,1.43195933873696,1.53100706799629,1.30704056538937,3.37064596887412,2.40118113891842,2.37148400167378,1.25436811690384,2.26838754891542,1.10944516588528,1.07534548114832,2.70114159604614,1.9564755862698,2.89557434574739,1.87977850461321,0.961561878914674,0.94626351680352,2.94117097020251,1.21198157705077,1.96130174967765,1.51023927388483,3.07817090359503,1.58232225001244,3.19412137882161,2.43179316206972,3.40643011047727,0.638846510476878
"CELseq2_A18",4.18360835244813,4.39278868244693,1.65920094606059,3.62603010488749,3.88208408871038,2.46611919340232,1.19691535166309,3.80328517964552,3.49000184451168,3.78927622511553,3.18380186330575,3.25018120367207,3.94846794291309,2.89576498782163,2.71690429621727,3.38949200097705,2.2999352434429,4.62432096731773,3.52454316766825,2.98974815614304,2.1675215905977,1.63093605133254,3.19805341236311,4.20431464690755,3.63884817760054,1.51042958534739,3.57380993217075,2.41686494287581,2.42382748528169,3.15164680530141,3.19356839986379,3.5041773255881,3.05065307388057,3.12785968657901,3.08124194959886,2.71226043806758,3.06802281547563,3.22713329565567,2.70142110543957,3.08833485576871,4.23472986274602,2.66087789869233,3.36529608007024,2.87522514513866,2.79435982448543,2.68347578340932,2.89802408829182,1.27296294759972,1.41621345705789,2.42744142817817,3.00753478924425,3.54115856889988,3.56615976172076,3.667167964071,2.82155258324794,3.26879611125988,2.70099364140023,3.1177046950173,3.79200527973166,2.90142436345012,2.50647463845978,3.21429859422266,2.1820112928777,2.91623246163687,2.66444718542132,3.01886557321586,2.40385678539066,2.37182803165636,1.9964476910634,3.35641700712161,1.50487877839528,2.72519731410131,1.99727774401036,1.80408009799123,1.81223816736453,2.82033643051448,0.187650728697687,2.77215369573636,3.11865788498965,1.94469458267596,2.90761776194051,2.89652989707431,1.92279579394008,1.72621645528959,1.50787925822306,2.48846435824787,3.77995275339191,1.8537295086999,1.75755008785564,1.54004347831271,2.78264169164552,3.1945551987273,2.73451466852838,0.93095189677769,3.32168573535499,1.87679803126955,3.2180474518403,2.4997772738265,2.30673454069663,3.06699594396066
"CELseq2_A2",4.57867551103366,5.58417006867145,2.4557956595304,2.43817638972551,2.89965969739506,4.40777268108563,3.02600329952107,2.26730572988512,2.55520655790679,3.48480608185604,1.26455138679253,3.11975660335588,4.20705806846662,1.96055264377337,3.13416705180358,3.53950284514101,2.73207786087805,2.83968134445661,1.09171752978949,1.53805548270894,1.1003821374985,1.91259621053228,2.8981249806472,1.81621557598335,0.355500472927042,3.58814979414822,0.777169869157517,1.67842723995122,4.06207879464013,2.41662266732117,3.28225669709406,1.70316374066371,3.34330641478353,3.58124514101751,2.9678805973633,2.73810648964571,2.45492617691712,1.96936720394306,1.6940346936509,2.12281049208688,2.33770789843439,1.54296402696626,1.8571459770016,3.26714264240183,2.4716734897259,2.3471717484749,2.72530743636129,1.39420698731075,1.63623608584404,2.21769575009473,1.16950726347388,2.0615505248875,1.99424823409175,3.79454150324854,3.03391724382803,0.310788817799659,2.17818930786886,2.31073523492165,2.4379479562657,1.91397058945451,0.565756961565662,1.28328485929207,1.51718406403685,2.86403384291832,1.8032258608393,2.11279387454612,1.91337206906939,2.45982328043945,1.95044454870334,2.2906877787507,0.76622001829299,2.29076586481188,0,1.82544085536815,1.23570282344263,0.651106529658683,1.29980024245772,2.77643110471479,1.869762806703,1.60694063035591,1.38209091158085,2.25433243115853,1.27620393987833,1.02209338938969,2.27420410432531,1.83147594776367,2.89228552037404,2.20353526309751,0.650795303668326,0.979955782968505,2.56551168012838,1.45539710573603,1.6685120570596,1.47216865558208,2.46154426859326,1.49865716320548,2.5878602517546,1.5268483701653,2.29158757616396,1.11768856628237
"CELseq2_A20",3.71777175842134,5.50294657353344,1.303999339612,3.63724228485392,3.82806363464949,3.85283528781663,3.25062367814479,3.00629828684126,3.70564296782538,2.96216725057644,2.3681432451525,1.75077207976808,4.57835565797115,2.57960222630021,2.13004441959257,3.34171668059518,3.32283304205102,2.74743233417905,1.22129979529591,2.87878520792553,3.07263207061482,0.605956475358075,2.79308603935642,2.1767847220831,0.323425369105871,2.1409239308008,1.49477105758567,1.36328652107417,3.8174100692923,2.46681478670526,2.43801873010763,2.54026518531513,3.42359165450697,3.61548529395043,0.193434340343193,1.09114229513851,1.97734841341005,2.61272128007507,2.86442081734627,2.22264648587061,2.40651356757219,2.73863829681329,2.84791183118509,1.74679297320333,0.891049792731019,2.50955754506475,1.62719946683165,0,0.362260060490638,1.55494699186722,2.091806198291,1.87130264460315,2.52780666172696,1.45101239242249,0.756559705558491,1.23785430778463,2.70503672892056,2.47484127841212,2.40088522701603,2.13775758242986,1.1244065581609,1.23499583947221,1.73882758597847,2.22820595341192,1.76695534248097,1.86078317084765,1.34430500369496,2.90917045340506,1.28236093923583,2.79951751454419,1.45000741645319,2.39859607573754,0.846570392666702,0.570248863812838,1.43410143790679,0.728999029120221,0,2.13567261391297,1.94310140732203,1.69643248032862,1.57171316127831,2.47837124056245,1.7080909328262,0.798555451286702,2.58102163026766,2.15970602444188,3.29839522624541,1.4812174743697,1.11413102309542,0.954647809862642,1.32068923807178,1.47694254282013,2.11100929779824,1.00810135994264,2.50103324743929,1.86739009008028,2.36064734810788,1.95872670387815,1.50529118598537,1.77647010575605
