,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell1,51,26,0,13,72,1,35,75,54,8,4,13,3,7,10,7,9,9,2,279,62,37,0,0,163,17,63,0,0,0,35,136,12,18,2,34,3,4,2,2,1,1,3,4,25,4,0,2,16,1,6,15,16,37,11,15,6,32,9,0,2,0,16,7,11,20,2,30,2,6,14,6,19,2,4,0,15,68,4,0,2,22,4,6,3,11,1,114,512,8,18,5,0,11,4,0,0,5,3,5,17,11,0,44,3,14,5459,0,114,7
cell2,3,475,1,95,0,2,99,80,30,140,79,0,7,0,364,30,437,57,36,16,6,280,2,3,16,7,12,0,11,1,0,8,0,3,0,1,14,150,25,1,2,56,1,156,1,12,1,0,80,20,6,59,44,215,53,90,8,10,137,0,1,16,77,14,10,299,44,15,0,11,490,126,13,1,1,3,10,55,247,1,15,148,3,18,81,147,0,10,1257,11,21,2,1,60,1,0,28,192,0,90,255,11,6,14,5,1,57,6,11,80
cell3,32,11,0,3,11,0,49,9,19,28,9,105,3,18,56,10,32,10,9,432,127,391,3,1,185,31,121,1,2,4,55,219,76,31,18,18,4,19,2,2,7,18,7,9,7,2,2,0,20,3,9,10,27,19,31,18,54,42,24,4,9,2,21,34,67,44,2,58,0,9,52,14,54,4,4,31,22,0,6,0,11,185,2,17,21,0,5,327,10,20,44,2,2,94,3,0,4,27,6,59,12,18,0,9,6,3,9377,158,12,291
cell4,0,239,3,99,10,1,77,70,27,50,81,60,2,2,293,17,378,99,0,13,9,393,4,12,11,6,9,0,13,0,0,7,0,1,30,1,13,83,15,1,21,26,0,104,3,13,0,0,77,36,8,55,35,227,34,91,5,9,142,0,0,15,62,10,12,161,8,26,0,18,423,87,5,1,0,0,18,49,11,0,15,97,3,13,98,103,1,7,1387,17,14,17,4,0,5,0,14,101,2,27,244,15,0,27,1,2,3945,17,7,18
cell5,51,30,0,15,56,0,68,81,37,3,7,51,2,19,16,6,11,6,0,174,34,115,1,0,106,40,20,0,2,1,17,97,5,4,0,35,3,5,9,0,0,2,5,4,16,1,3,1,8,3,9,5,17,32,10,11,10,17,11,1,4,0,22,5,14,13,0,7,1,16,17,7,14,1,6,14,17,16,0,0,3,56,1,9,2,34,0,131,437,8,11,5,2,3,1,0,0,3,12,9,8,17,0,28,2,9,2388,2,183,1
cell6,5,170,0,117,0,1,80,46,42,38,69,110,4,5,322,26,445,74,22,11,11,349,0,20,8,9,4,0,0,0,1,12,1,4,18,1,20,162,16,0,11,58,0,101,2,4,0,1,75,31,14,62,30,157,47,93,6,14,151,3,2,17,73,14,13,296,29,15,0,6,487,95,4,1,0,4,12,105,75,0,12,197,2,10,53,259,1,13,2340,11,11,4,1,9,0,0,26,55,1,48,295,19,0,29,5,6,7696,11,13,14
cell7,2,243,0,102,1,1,88,37,55,170,121,0,12,1,449,22,232,92,1,10,4,193,3,15,11,9,3,0,1,0,0,9,0,2,37,2,9,106,31,2,0,40,1,210,1,8,0,0,69,28,5,77,30,185,31,90,13,11,154,0,1,20,45,12,11,327,20,8,0,11,412,106,14,0,0,2,13,44,111,0,9,208,5,18,78,191,2,12,1280,12,25,12,0,0,9,0,13,198,2,23,283,9,46,17,6,6,6700,15,7,22
cell8,30,24,0,42,57,1,15,96,37,13,12,2,2,23,11,2,15,1,4,247,57,77,1,2,72,38,47,0,2,0,10,100,0,20,0,17,1,7,2,0,1,6,1,7,12,2,18,1,10,1,14,4,14,147,6,16,5,27,11,5,4,1,17,9,8,2,0,40,4,5,6,3,19,2,2,4,21,19,10,0,5,57,4,10,2,11,1,161,219,6,19,4,1,4,0,0,2,0,4,8,14,6,0,19,11,9,8688,5,111,2
cell9,13,217,0,17,0,1,55,67,16,152,44,60,8,5,351,20,429,48,0,10,10,269,1,1,9,3,5,1,1,0,0,12,1,1,10,1,13,147,33,2,10,14,0,69,1,0,1,0,95,24,5,76,44,82,22,89,8,19,118,0,6,0,72,10,13,253,15,12,0,12,398,59,12,2,0,1,16,17,82,0,11,174,8,8,34,205,3,13,1365,17,14,11,4,104,3,0,16,175,0,39,280,13,22,78,12,0,6868,15,2,67
cell10,28,41,0,10,23,1,71,72,20,27,5,5,1,30,57,4,70,15,16,469,126,158,4,2,163,71,152,0,13,0,9,217,72,30,0,20,12,19,13,4,2,24,2,16,35,3,2,0,18,9,19,22,19,14,29,10,45,43,35,0,25,5,19,60,62,46,3,45,0,9,65,29,69,1,10,10,24,0,32,0,23,193,8,18,14,8,0,254,18,9,64,3,4,0,10,0,2,41,11,22,19,7,0,3,5,3,10025,124,9,149
