,pop,depth,cell.type,cell.type.idx,batch
cell1,4_1,1.99247176913425,4_1_2,5,1
cell2,5_2,2,5_2,2,2
cell3,5_3,1.99748743718593,5_3,3,1
cell4,5_2,1.99497487437186,5_2,2,1
cell5,4_1,1.99247176913425,4_1_2,5,3
cell6,5_2,1.98994974874372,5_2,2,2
cell7,5_2,1.98743718592965,5_2,2,3
cell8,4_1,1.98745294855709,4_1_2,5,2
cell9,5_2,1.98241206030151,5_2,2,2
cell10,5_3,1.97989949748744,5_3,3,3
cell11,5_3,1.97738693467337,5_3,3,2
cell12,5_3,1.9748743718593,5_3,3,3
cell13,5_3,1.97236180904523,5_3,3,2
cell14,5_2,1.96984924623116,5_2,2,1
cell15,4_1,1.96988707653701,4_1_2,5,1
cell16,5_2,1.96482412060302,5_2,2,2
cell17,5_3,1.96231155778894,5_3,3,1
cell18,5_3,1.95979899497487,5_3,3,2
cell19,5_2,1.9572864321608,5_2,2,1
cell20,5_3,1.95477386934673,5_3,3,3
cell21,5_2,1.95226130653266,5_2,2,3
cell22,5_3,1.94974874371859,5_3,3,1
cell23,5_2,1.94723618090452,5_2,2,2
cell24,5_3,1.94472361809045,5_3,3,1
cell25,4_1,1.94479297365119,4_1_2,5,3
cell26,5_2,1.93969849246231,5_2,2,2
cell27,5_3,1.93718592964824,5_3,3,3
cell28,5_2,1.93467336683417,5_2,2,2
cell29,4_1,1.93475533249686,4_1_2,5,3
cell30,4_1,1.93224592220828,4_1_2,5,2
cell31,4_1,1.9297365119197,4_1_2,5,2
cell32,5_3,1.92462311557789,5_3,3,2
cell33,4_1,1.92471769134253,4_1_2,5,3
cell34,5_2,1.91959798994975,5_2,2,1
cell35,5_2,1.91708542713568,5_2,2,1
cell36,4_1,1.91718946047679,4_1_2,5,2
cell37,5_3,1.91206030150754,5_3,3,3
cell38,4_1,1.91217063989962,4_1_2,5,1
cell39,5_2,1.9070351758794,5_2,2,3
cell40,5_3,1.90452261306533,5_3,3,3
cell41,5_2,1.90201005025126,5_2,2,1
cell42,5_2,1.89949748743719,5_2,2,1
cell43,5_2,1.89698492462312,5_2,2,3
cell44,5_3,1.89447236180905,5_3,3,2
cell45,4_1,1.89460476787955,4_1_2,5,2
cell46,5_2,1.8894472361809,5_2,2,1
cell47,4_1,1.88958594730238,4_1_2,5,1
cell48,4_1,1.8870765370138,4_1_2,5,1
cell49,4_1,1.88456712672522,4_1_2,5,3
cell50,4_1,1.88205771643664,4_1_2,5,1
cell51,5_2,1.87688442211055,5_2,2,3
cell52,5_3,1.87437185929648,5_3,3,3
cell53,4_1,1.87452948557089,4_1_2,5,2
cell54,4_1,1.87202007528231,4_1_2,5,1
cell55,5_3,1.86683417085427,5_3,3,2
cell56,4_1,1.86700125470514,4_1_2,5,3
cell57,5_2,1.86180904522613,5_2,2,3
cell58,5_2,1.85929648241206,5_2,2,3
cell59,5_2,1.85678391959799,5_2,2,3
cell60,5_3,1.85427135678392,5_3,3,1
cell61,5_2,1.85175879396985,5_2,2,1
cell62,4_1,1.85194479297365,4_1_2,5,3
cell63,5_3,1.84673366834171,5_3,3,1
cell64,5_3,1.84422110552764,5_3,3,3
cell65,5_2,1.84170854271357,5_2,2,2
