pop,depth,cell.type,cell.type.idx,batch
5_2,2,5_2,2,2
5_2,1.98994974874372,5_2,2,2
4_1,1.98745294855709,4_1_2,5,2
5_2,1.98241206030151,5_2,2,2
5_3,1.97738693467337,5_3,3,2
5_3,1.97236180904523,5_3,3,2
5_2,1.96482412060302,5_2,2,2
5_3,1.95979899497487,5_3,3,2
5_2,1.94723618090452,5_2,2,2
5_2,1.93969849246231,5_2,2,2
5_2,1.93467336683417,5_2,2,2
4_1,1.93224592220828,4_1_2,5,2
4_1,1.9297365119197,4_1_2,5,2
5_3,1.92462311557789,5_3,3,2
4_1,1.91718946047679,4_1_2,5,2
5_3,1.89447236180905,5_3,3,2
4_1,1.89460476787955,4_1_2,5,2
4_1,1.87452948557089,4_1_2,5,2
5_3,1.86683417085427,5_3,3,2
5_2,1.84170854271357,5_2,2,2
5_2,1.8391959798995,5_2,2,2
5_3,1.82914572864322,5_3,3,2
5_2,1.82663316582915,5_2,2,2
5_3,1.80653266331658,5_3,3,2
5_2,1.79899497487437,5_2,2,2
4_1,1.79171894604768,4_1_2,5,2
5_3,1.78140703517588,5_3,3,2
5_2,1.76633165829146,5_2,2,2
5_2,1.73115577889447,5_2,2,2
5_3,1.72613065326633,5_3,3,2
5_3,1.72110552763819,5_3,3,2
4_1,1.70639899623588,4_1_2,5,2
4_1,1.69887076537014,4_1_2,5,2
4_1,1.69385194479297,4_1_2,5,2
5_3,1.68844221105528,5_3,3,2
5_3,1.67085427135678,5_3,3,2
4_1,1.67126725219573,4_1_2,5,2
5_2,1.65075376884422,5_2,2,2
4_1,1.64115432873275,4_1_2,5,2
4_1,1.633626097867,4_1_2,5,2
4_1,1.62609786700125,4_1_2,5,2
5_2,1.6105527638191,5_2,2,2
5_3,1.5678391959799,5_3,3,2
5_3,1.56281407035176,5_3,3,2
5_2,1.55527638190955,5_2,2,2
5_2,1.54773869346734,5_2,2,2
4_1,1.54579673776662,4_1_2,5,2
5_3,1.54020100502513,5_3,3,2
4_1,1.53324968632371,4_1_2,5,2
5_2,1.52261306532663,5_2,2,2
4_1,1.52321204516939,4_1_2,5,2
5_2,1.51758793969849,5_2,2,2
4_1,1.51819322459222,4_1_2,5,2
5_3,1.51005025125628,5_3,3,2
5_2,1.50753768844221,5_2,2,2
4_1,1.50815558343789,4_1_2,5,2
5_3,1.50251256281407,5_3,3,2
5_2,1.5,5_2,2,2
5_3,1.49246231155779,5_3,3,2
5_3,1.48994974874372,5_3,3,2
5_2,1.48743718592965,5_2,2,2
5_2,1.47738693467337,5_2,2,2
4_1,1.46800501882058,4_1_2,5,2
5_3,1.4572864321608,5_3,3,2
4_1,1.45796737766625,4_1_2,5,2
5_2,1.44974874371859,5_2,2,2
5_2,1.44221105527638,5_2,2,2
5_2,1.43718592964824,5_2,2,2
4_1,1.43538268506901,4_1_2,5,2
5_3,1.42964824120603,5_3,3,2
5_2,1.42713567839196,5_2,2,2
5_3,1.42462311557789,5_3,3,2
5_2,1.41959798994975,5_2,2,2
5_2,1.41457286432161,5_2,2,2
4_1,1.41530740276035,4_1_2,5,2
5_3,1.40954773869347,5_3,3,2
5_2,1.40452261306533,5_2,2,2
4_1,1.39774153074028,4_1_2,5,2
5_3,1.38693467336683,5_3,3,2
5_2,1.38442211055276,5_2,2,2
5_3,1.37437185929648,5_3,3,2
4_1,1.37264742785445,4_1_2,5,2
4_1,1.36260978670013,4_1_2,5,2
5_2,1.35427135678392,5_2,2,2
5_2,1.34673366834171,5_2,2,2
5_2,1.34170854271357,5_2,2,2
4_1,1.34253450439147,4_1_2,5,2
5_3,1.32412060301508,5_3,3,2
4_1,1.31744040150565,4_1_2,5,2
5_3,1.31155778894472,5_3,3,2
