,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
1,0,0,0,0,1231,0,0,7590,0,839,80,8810,0,0,271,6864,2796,700,398,10994,0,0,0,101,1744,0,0,0,264,0,889,28,3880,244,698,1040,1325,409,0,566,98,1157,438,23475,56,226,923,131,234,0,0,22272,73,2302,2789,577,14,0,972,0,3559,6285,1103,0,258,239,919,8288,86,355,1385,94,0,2128,8950,767,13,0,0,0,954,775,5,0,594,0,357,5602,63,0,797,349,0,1948,0,0,197,1881,0,0,147,0,0,10509,970,0,953,5099,134,0
2,457,0,0,492,0,1762,0,1906,172,675,35,5973,0,0,101,2669,4549,0,140,4851,27,0,0,0,614,0,231,0,801,0,1226,131,2316,640,482,1766,477,75,962,298,31,893,1710,23223,28,48,381,146,186,1386,0,9262,0,8462,11120,109,14,0,1038,952,4960,0,0,0,110,0,1333,4223,80,133,1876,1074,0,1152,2177,321,8,0,0,0,0,1328,0,0,665,32,202,890,0,0,410,0,23,1210,148,0,0,2624,0,2455,729,0,502,6955,182,2272,0,5392,0,26781
3,0,0,0,0,1505,1,0,451,1834,244,0,361,9,0,1184,2012,2178,71,517,11379,0,0,0,0,291,471,307,57,78,0,8572,63,190,219,197,494,364,5090,144,182,7,13709,303,3379,30,411,242,178,780,2809,125,91,0,93,11137,176,0,0,1648,14209,5512,61,2323,0,3909,0,71,505,0,393,2209,159,0,0,9416,278,19,0,277,221,3604,131,0,0,244,81,1764,1224,31,0,9264,0,9,63961,35,0,1087,1965,0,355,0,0,1037,4120,870,443,44,68,187,8802
4,1077,62,0,10,0,764,0,1267,44,14,11,1151,0,0,0,0,467,0,91,0,0,0,0,0,74,298,0,443,0,1051,0,0,11,144,46,26262,51,387,198,0,0,802,0,77,5016,0,16,0,62,0,6,1360,0,204,146,893,46,1232,111,5852,69,0,125,0,0,163,31,1194,0,32,2894,20,0,0,0,6344,0,1202,0,0,0,0,394,0,204,67,0,16924,51,0,149,0,0,8,0,0,0,529,0,486,120,654,0,48,0,0,211,282,38,128
5,2663,0,0,85,171,0,0,798,116,0,0,4421,79,0,647,2108,7650,0,3127,36182,630,133,0,0,389,6458,0,0,15,0,26437,1278,2309,387,95,1071,66,14502,1985,0,0,3697,15,655,1856,370,684,34,1135,348,0,6232,0,190,376,7205,94,0,941,0,308,1846,126,0,1017,0,417,795,0,0,46653,330,0,0,390,990,0,0,0,0,312,3816,0,922,4927,0,0,813,181,0,2961,60,0,1171,70,0,272,8574,0,2670,0,0,0,1800,19169,0,0,519,333,4398
6,0,3,0,0,0,95,0,972,110,0,0,132,0,0,347,390,144,0,21,0,0,10,0,0,0,62,0,151,0,2330,0,0,4,2,4,23409,110,286,0,18,0,2024,64,402,1539,175,15,77,99,497,11,35,15,175,1228,8,261,1970,232,37012,465,0,0,0,0,16,17,3056,0,0,153,0,23,36,503,2779,0,2140,44,0,1826,0,401,0,19,89,952,65236,154,0,663,0,0,360,24,0,0,120,0,0,62,0,0,227,42,0,61,364,22,67
7,2281,0,162,29,1757,386,0,1443,0,0,0,666,0,0,0,1779,246,0,194,0,0,0,0,0,0,292,0,314,4,298,0,59,29,91,52,18391,48,673,320,0,0,1010,0,72,7850,0,31,0,198,356,502,4058,29,212,194,37,27,1274,56,11027,0,137,146,0,0,0,0,974,46,0,10929,101,84,124,0,5470,0,663,0,0,0,0,138,0,1226,14,8,21553,115,0,0,0,0,51,0,1028,0,2036,0,0,0,0,0,185,993,0,0,197,85,26
8,1509,12,0,0,704,1225,0,2021,469,327,37,2968,1047,0,356,7902,1337,301,6502,14601,0,24,0,0,0,0,0,320,5,0,5135,1000,566,322,297,2164,263,16210,0,0,227,6430,47,335,2559,0,585,12,2368,0,1616,5071,0,428,384,2344,368,0,855,15759,309,2623,0,0,205,0,35,1346,0,912,33630,114,0,78,72,944,0,81,0,1771,0,0,0,1905,5755,703,95,3899,0,0,1325,0,888,400,44,0,0,15418,0,7671,0,0,1255,78,8622,1229,162,285,14779,2322
9,365,0,0,0,295,1323,0,4573,767,258,17,28190,0,0,137,1565,3489,506,272,8046,173,0,0,22,1838,416,76,0,217,160,514,433,4562,648,768,1996,930,253,791,427,300,213,360,13688,101,150,429,185,672,1029,1287,12709,0,7849,6249,61,129,0,1570,6328,5346,1244,331,0,425,2698,250,3111,2,28,1796,268,0,1170,3561,221,53,11,0,1537,103,2751,0,0,400,12,0,7063,0,21,1331,454,4,1274,0,0,306,2113,0,435,0,0,205,3933,99,180,339,965,136,15719
10,152,27,0,315,0,166,0,592,419,0,0,292,0,0,187,39,154,0,22,587,0,0,0,0,6,0,0,104,0,5741,632,0,0,0,24,21894,68,260,9,0,1,1045,0,313,786,75,0,0,0,709,8,10,16,192,2532,24,719,662,43,79782,589,0,1171,0,0,0,3,2355,58,0,123,164,0,50,0,2526,4,1756,0,0,595,0,459,0,27,684,114,66674,250,0,2578,0,0,0,0,0,0,114,0,0,6,0,0,0,0,325,149,136,0,97
