pop,depth,cell.type,cell.type.idx,batch
5_2,1.99497487437186,5_2,2,3
4_1,1.98996235884567,4_1_2,5,3
4_1,1.98494353826851,4_1_2,5,3
5_3,1.96984924623116,5_3,3,3
4_1,1.95232120451694,4_1_2,5,3
5_2,1.94472361809045,5_2,2,3
4_1,1.94228356336261,4_1_2,5,3
5_3,1.91206030150754,5_3,3,3
5_3,1.90452261306533,5_3,3,3
4_1,1.8870765370138,4_1_2,5,3
5_2,1.88190954773869,5_2,2,3
4_1,1.88205771643664,4_1_2,5,3
5_2,1.87688442211055,5_2,2,3
5_3,1.86683417085427,5_3,3,3
5_3,1.8643216080402,5_3,3,3
5_3,1.85929648241206,5_3,3,3
5_2,1.85427135678392,5_2,2,3
5_2,1.84673366834171,5_2,2,3
4_1,1.8444165621079,4_1_2,5,3
4_1,1.83437892095358,4_1_2,5,3
4_1,1.8168130489335,4_1_2,5,3
5_3,1.80653266331658,5_3,3,3
4_1,1.80677540777917,4_1_2,5,3
5_2,1.7964824120603,5_2,2,3
5_2,1.78894472361809,5_2,2,3
4_1,1.78419071518193,4_1_2,5,3
5_2,1.77386934673367,5_2,2,3
5_2,1.76884422110553,5_2,2,3
5_2,1.75628140703518,5_2,2,3
5_3,1.75125628140704,5_3,3,3
5_3,1.74874371859296,5_3,3,3
4_1,1.74404015056462,4_1_2,5,3
5_3,1.72613065326633,5_3,3,3
5_3,1.72110552763819,5_3,3,3
5_3,1.71608040201005,5_3,3,3
5_3,1.70854271356784,5_3,3,3
5_3,1.70603015075377,5_3,3,3
5_3,1.68592964824121,5_3,3,3
5_3,1.68090452261307,5_3,3,3
5_3,1.67587939698492,5_3,3,3
5_3,1.67336683417085,5_3,3,3
5_3,1.67085427135678,5_3,3,3
4_1,1.67126725219573,4_1_2,5,3
5_2,1.66582914572864,5_2,2,3
5_2,1.66331658291457,5_2,2,3
5_2,1.6608040201005,5_2,2,3
5_2,1.64824120603015,5_2,2,3
5_3,1.64321608040201,5_3,3,3
4_1,1.64366373902133,4_1_2,5,3
4_1,1.633626097867,4_1_2,5,3
5_3,1.6105527638191,5_3,3,3
5_2,1.60301507537688,5_2,2,3
5_2,1.59547738693467,5_2,2,3
5_3,1.58542713567839,5_3,3,3
5_3,1.57788944723618,5_3,3,3
4_1,1.57841907151819,4_1_2,5,3
5_2,1.57035175879397,5_2,2,3
5_3,1.5678391959799,5_3,3,3
5_2,1.56532663316583,5_2,2,3
5_3,1.56281407035176,5_3,3,3
5_2,1.56030150753769,5_2,2,3
4_1,1.56085319949812,4_1_2,5,3
5_3,1.55527638190955,5_3,3,3
4_1,1.55583437892095,4_1_2,5,3
5_2,1.55025125628141,5_2,2,3
5_3,1.54773869346734,5_3,3,3
5_2,1.54522613065327,5_2,2,3
4_1,1.5357590966123,4_1_2,5,3
4_1,1.53074027603513,4_1_2,5,3
5_2,1.5251256281407,5_2,2,3
5_2,1.51758793969849,5_2,2,3
5_2,1.51507537688442,5_2,2,3
4_1,1.50313676286073,4_1_2,5,3
4_1,1.48306148055207,4_1_2,5,3
5_3,1.47738693467337,5_3,3,3
4_1,1.47553324968632,4_1_2,5,3
4_1,1.47302383939774,4_1_2,5,3
5_2,1.46482412060302,5_2,2,3
5_2,1.45979899497487,5_2,2,3
4_1,1.46047678795483,4_1_2,5,3
5_2,1.44974874371859,5_2,2,3
4_1,1.43287327478043,4_1_2,5,3
4_1,1.42785445420326,4_1_2,5,3
4_1,1.4228356336261,4_1_2,5,3
5_2,1.41708542713568,5_2,2,3
5_3,1.41206030150754,5_3,3,3
