orig.ident,nCount_RNA,nFeature_RNA,pop,depth,cell.type,cell.type.idx,batch,nCount_SCT,nFeature_SCT
IntegTest,353789,62,5_2,1.99497487437186,5_2,2,3,360300,62
IntegTest,460738,81,4_1,1.98996235884567,4_1_2,5,3,478967,89
IntegTest,655722,84,4_1,1.98494353826851,4_1_2,5,3,732487,95
IntegTest,239963,67,5_3,1.96984924623116,5_3,3,3,231411,67
IntegTest,425579,83,4_1,1.95232120451694,4_1_2,5,3,438886,91
IntegTest,328353,67,5_2,1.94472361809045,5_2,2,3,329250,67
IntegTest,362085,78,4_1,1.94228356336261,4_1_2,5,3,366158,78
IntegTest,232263,67,5_3,1.91206030150754,5_3,3,3,226938,67
IntegTest,254239,63,5_3,1.90452261306533,5_3,3,3,246315,63
IntegTest,264391,85,4_1,1.8870765370138,4_1_2,5,3,260332,85
IntegTest,315841,66,5_2,1.88190954773869,5_2,2,3,314764,66
IntegTest,290955,78,4_1,1.88205771643664,4_1_2,5,3,288447,78
IntegTest,341024,70,5_2,1.87688442211055,5_2,2,3,344009,70
IntegTest,313334,74,5_3,1.86683417085427,5_3,3,3,312457,74
IntegTest,300981,70,5_3,1.8643216080402,5_3,3,3,298760,70
IntegTest,290269,71,5_3,1.85929648241206,5_3,3,3,288029,71
IntegTest,333598,65,5_2,1.85427135678392,5_2,2,3,335016,65
IntegTest,357840,67,5_2,1.84673366834171,5_2,2,3,363719,67
IntegTest,288542,74,4_1,1.8444165621079,4_1_2,5,3,283805,74
IntegTest,324565,75,4_1,1.83437892095358,4_1_2,5,3,324741,75
IntegTest,425857,82,4_1,1.8168130489335,4_1_2,5,3,434362,90
IntegTest,271494,78,5_3,1.80653266331658,5_3,3,3,266050,78
IntegTest,178989,84,4_1,1.80677540777917,4_1_2,5,3,170311,84
IntegTest,266012,72,5_2,1.7964824120603,5_2,2,3,256562,72
IntegTest,313821,72,5_2,1.78894472361809,5_2,2,3,312886,72
IntegTest,160385,75,4_1,1.78419071518193,4_1_2,5,3,146560,75
IntegTest,343692,61,5_2,1.77386934673367,5_2,2,3,346279,61
IntegTest,280877,67,5_2,1.76884422110553,5_2,2,3,275316,67
IntegTest,284069,68,5_2,1.75628140703518,5_2,2,3,279345,68
IntegTest,313327,82,5_3,1.75125628140704,5_3,3,3,312387,82
IntegTest,340079,84,5_3,1.74874371859296,5_3,3,3,341513,84
IntegTest,171070,83,4_1,1.74404015056462,4_1_2,5,3,158884,83
IntegTest,310658,80,5_3,1.72613065326633,5_3,3,3,309340,80
IntegTest,270186,84,5_3,1.72110552763819,5_3,3,3,264094,84
IntegTest,324680,90,5_3,1.71608040201005,5_3,3,3,324873,90
IntegTest,306256,78,5_3,1.70854271356784,5_3,3,3,304272,78
IntegTest,334771,85,5_3,1.70603015075377,5_3,3,3,336039,85
IntegTest,342866,82,5_3,1.68592964824121,5_3,3,3,344998,82
IntegTest,269663,71,5_3,1.68090452261307,5_3,3,3,264060,71
IntegTest,316016,82,5_3,1.67587939698492,5_3,3,3,315172,82
IntegTest,290355,63,5_3,1.67336683417085,5_3,3,3,286757,63
IntegTest,345538,71,5_3,1.67085427135678,5_3,3,3,348286,71
IntegTest,227195,83,4_1,1.67126725219573,4_1_2,5,3,219199,83
IntegTest,343141,55,5_2,1.66582914572864,5_2,2,3,344964,55
IntegTest,330548,75,5_2,1.66331658291457,5_2,2,3,331426,75
IntegTest,402977,83,5_2,1.6608040201005,5_2,2,3,411857,88
IntegTest,341691,75,5_2,1.64824120603015,5_2,2,3,343700,75
IntegTest,326887,83,5_3,1.64321608040201,5_3,3,3,327308,83
IntegTest,201163,82,4_1,1.64366373902133,4_1_2,5,3,190087,82
IntegTest,286613,74,4_1,1.633626097867,4_1_2,5,3,281817,74
IntegTest,381204,59,5_3,1.6105527638191,5_3,3,3,387853,59
IntegTest,400200,73,5_2,1.60301507537688,5_2,2,3,409057,79
IntegTest,333332,69,5_2,1.59547738693467,5_2,2,3,334202,69
IntegTest,286092,79,5_3,1.58542713567839,5_3,3,3,282249,79
IntegTest,333594,68,5_3,1.57788944723618,5_3,3,3,334641,68
IntegTest,393156,82,4_1,1.57841907151819,4_1_2,5,3,404845,86
IntegTest,303494,70,5_2,1.57035175879397,5_2,2,3,301894,70
