orig.ident,nCount_RNA,nFeature_RNA,pop,depth,cell.type,cell.type.idx,batch,nCount_SCT,nFeature_SCT
IntegTest,143716,75,5_2,1.99748743718593,5_2,2,3,139143,77
IntegTest,162476,77,5_3,1.99497487437186,5_3,3,3,154029,79
IntegTest,199469,83,4_1,1.99247176913425,4_1_2,5,3,202653,83
IntegTest,194393,84,4_1,1.98494353826851,4_1_2,5,3,204048,84
IntegTest,181260,76,4_1,1.97992471769134,4_1_2,5,3,189810,77
IntegTest,167149,71,5_2,1.97236180904523,5_2,2,3,162287,72
IntegTest,226119,80,4_1,1.9723964868256,4_1_2,5,3,226457,80
IntegTest,187363,67,5_2,1.96733668341709,5_2,2,3,185793,67
IntegTest,274493,86,4_1,1.94981179422836,4_1_2,5,3,274515,86
IntegTest,212389,80,4_1,1.94479297365119,4_1_2,5,3,216374,80
IntegTest,183968,77,4_1,1.93475533249686,4_1_2,5,3,192324,78
IntegTest,214242,88,4_1,1.9297365119197,4_1_2,5,3,216484,88
IntegTest,176896,64,5_3,1.92211055276382,5_3,3,3,173613,66
IntegTest,249171,78,4_1,1.92220828105395,4_1_2,5,3,244654,78
IntegTest,192547,72,5_3,1.90201005025126,5_3,3,3,189389,72
IntegTest,184836,68,5_2,1.89949748743719,5_2,2,3,186807,68
IntegTest,177063,74,5_3,1.89447236180905,5_3,3,3,173962,76
IntegTest,208872,83,4_1,1.8870765370138,4_1_2,5,3,211966,83
IntegTest,187942,65,5_3,1.87437185929648,5_3,3,3,185640,65
IntegTest,168655,76,5_3,1.86934673366834,5_3,3,3,163659,79
IntegTest,180693,76,5_3,1.8643216080402,5_3,3,3,175207,78
IntegTest,177054,77,5_2,1.85175879396985,5_2,2,3,184176,79
IntegTest,168059,70,5_2,1.84924623115578,5_2,2,3,166873,72
IntegTest,185178,78,5_3,1.8391959798995,5_3,3,3,182876,78
IntegTest,179923,82,4_1,1.83688833124216,4_1_2,5,3,186363,84
IntegTest,158316,79,4_1,1.83186951066499,4_1_2,5,3,173379,81
IntegTest,179135,66,5_2,1.82663316582915,5_2,2,3,180878,67
IntegTest,199662,83,4_1,1.82183186951066,4_1_2,5,3,202504,83
IntegTest,259030,77,5_3,1.81155778894472,5_3,3,3,260516,77
IntegTest,137823,65,5_2,1.80150753768844,5_2,2,3,133016,68
IntegTest,173153,75,5_2,1.7964824120603,5_2,2,3,172008,77
IntegTest,196586,78,4_1,1.79673776662484,4_1_2,5,3,206478,78
IntegTest,193262,78,5_3,1.78894472361809,5_3,3,3,192093,78
IntegTest,191377,69,5_3,1.78391959798995,5_3,3,3,194501,69
IntegTest,146735,68,5_3,1.77889447236181,5_3,3,3,142270,69
IntegTest,164393,72,5_2,1.77638190954774,5_2,2,3,162033,74
IntegTest,216052,88,4_1,1.76913425345044,4_1_2,5,3,218406,88
IntegTest,176835,72,5_3,1.76381909547739,5_3,3,3,174298,73
IntegTest,174802,64,5_2,1.75628140703518,5_2,2,3,177551,65
IntegTest,240784,74,4_1,1.75407779171895,4_1_2,5,3,237513,74
IntegTest,174278,72,5_3,1.74874371859296,5_3,3,3,168994,74
IntegTest,180236,65,5_2,1.73618090452261,5_2,2,3,182911,67
IntegTest,203020,68,5_3,1.73366834170854,5_3,3,3,202749,68
IntegTest,184057,80,5_3,1.72613065326633,5_3,3,3,186268,81
IntegTest,207261,74,5_2,1.70603015075377,5_2,2,3,209321,74
IntegTest,146655,63,5_3,1.70100502512563,5_3,3,3,149691,65
IntegTest,183207,72,5_2,1.69597989949749,5_2,2,3,189761,73
IntegTest,202740,82,5_3,1.69346733668342,5_3,3,3,200568,82
IntegTest,236274,73,4_1,1.69385194479297,4_1_2,5,3,234338,73
IntegTest,235403,70,5_3,1.67839195979899,5_3,3,3,235088,70
IntegTest,304425,78,4_1,1.67126725219573,4_1_2,5,3,289696,78
IntegTest,219959,80,5_3,1.6608040201005,5_3,3,3,221288,80
IntegTest,218824,64,5_2,1.63819095477387,5_2,2,3,219542,64
IntegTest,203035,78,5_2,1.61306532663317,5_2,2,3,204131,78
IntegTest,251236,60,5_2,1.60804020100502,5_2,2,3,248929,60
IntegTest,329028,64,5_2,1.59045226130653,5_2,2,3,341352,64
IntegTest,192097,64,5_2,1.55527638190955,5_2,2,3,198793,64
IntegTest,318246,77,4_1,1.55583437892095,4_1_2,5,3,271255,77
IntegTest,183467,69,5_2,1.54773869346734,5_2,2,3,184508,70
IntegTest,220885,68,5_3,1.53768844221106,5_3,3,3,222516,68
IntegTest,221648,73,5_3,1.52763819095477,5_3,3,3,220267,73
IntegTest,191852,65,5_2,1.5251256281407,5_2,2,3,200795,65
IntegTest,266978,64,5_2,1.52261306532663,5_2,2,3,263510,64
IntegTest,346676,75,4_1,1.51066499372647,4_1_2,5,3,326956,76
IntegTest,196806,68,5_3,1.48994974874372,5_3,3,3,203906,68
IntegTest,194966,69,5_3,1.48743718592965,5_3,3,3,192493,69
IntegTest,174639,59,5_3,1.48492462311558,5_3,3,3,169576,61
IntegTest,166750,70,5_2,1.48241206030151,5_2,2,3,170099,72
IntegTest,179433,67,5_2,1.47989949748744,5_2,2,3,185476,69
IntegTest,320499,73,4_1,1.48055207026349,4_1_2,5,3,300694,73
IntegTest,263084,76,4_1,1.47553324968632,4_1_2,5,3,253497,76
IntegTest,201003,72,5_2,1.45979899497487,5_2,2,3,204471,72
IntegTest,164273,57,5_2,1.45477386934673,5_2,2,3,163876,59
IntegTest,183696,73,5_3,1.44974874371859,5_3,3,3,180878,74
IntegTest,212282,70,5_3,1.44723618090452,5_3,3,3,210807,70
IntegTest,222160,70,5_3,1.43718592964824,5_3,3,3,221357,70
IntegTest,214633,71,5_3,1.43467336683417,5_3,3,3,213907,71
IntegTest,164166,68,5_3,1.4321608040201,5_3,3,3,159610,70
IntegTest,202130,61,5_3,1.41457286432161,5_3,3,3,201795,61
IntegTest,390741,80,4_1,1.41279799247177,4_1_2,5,3,363076,92
IntegTest,382286,80,4_1,1.39774153074028,4_1_2,5,3,362609,86
IntegTest,473355,77,4_1,1.39272271016311,4_1_2,5,3,488084,97
IntegTest,307973,79,4_1,1.38770388958595,4_1_2,5,3,280868,78
IntegTest,153759,72,5_2,1.38190954773869,5_2,2,3,151045,74
IntegTest,385264,73,4_1,1.38268506900878,4_1_2,5,3,378559,82
IntegTest,435545,72,4_1,1.3801756587202,4_1_2,5,3,459577,99
IntegTest,223070,61,5_2,1.37185929648241,5_2,2,3,223947,61
IntegTest,226838,56,5_2,1.36180904522613,5_2,2,3,226931,56
IntegTest,205338,70,5_3,1.32412060301508,5_3,3,3,204086,70
IntegTest,332633,80,4_1,1.31242158092848,4_1_2,5,3,309968,80
IntegTest,255817,75,5_2,1.30653266331658,5_2,2,3,251665,75
IntegTest,197481,67,5_2,1.30402010050251,5_2,2,3,199711,67
IntegTest,380065,67,4_1,1.29485570890841,4_1_2,5,3,322740,74
IntegTest,322021,66,4_1,1.28983688833124,4_1_2,5,3,298841,66
IntegTest,226801,64,5_2,1.27386934673367,5_2,2,3,227194,64
IntegTest,252824,57,5_2,1.26130653266332,5_2,2,3,243899,57
IntegTest,257043,60,5_3,1.24623115577889,5_3,3,3,255801,60
IntegTest,237748,71,5_2,1.23618090452261,5_2,2,3,236925,71
IntegTest,213948,65,5_3,1.23115577889447,5_3,3,3,215030,65
IntegTest,475991,74,4_1,1.23212045169385,4_1_2,5,3,502853,96
IntegTest,431095,72,5_2,1.21608040201005,5_2,2,3,430170,93
IntegTest,224778,60,5_3,1.21105527638191,5_3,3,3,224936,60
IntegTest,316212,66,4_1,1.20702634880803,4_1_2,5,3,296054,66
IntegTest,289824,61,5_2,1.20100502512563,5_2,2,3,272773,61
IntegTest,239092,62,5_2,1.19597989949749,5_2,2,3,237074,62
IntegTest,192011,59,5_2,1.19095477386935,5_2,2,3,192941,59
IntegTest,280076,65,5_3,1.18844221105528,5_3,3,3,277536,65
IntegTest,208175,67,5_3,1.18341708542714,5_3,3,3,211818,67
IntegTest,201101,62,5_2,1.18090452261307,5_2,2,3,203845,62
IntegTest,220577,78,5_3,1.17085427135678,5_3,3,3,221433,78
IntegTest,242114,69,5_3,1.16331658291457,5_3,3,3,241248,69
IntegTest,267509,66,4_1,1.15683814303639,4_1_2,5,3,263794,66
IntegTest,328266,51,5_2,1.14070351758794,5_2,2,3,321437,51
IntegTest,303373,84,4_1,1.12421580928482,4_1_2,5,3,284392,84
IntegTest,270162,79,4_1,1.11919698870765,4_1_2,5,3,260897,79
IntegTest,272669,76,4_1,1.10664993726474,4_1_2,5,3,272649,76
IntegTest,271909,73,4_1,1.09410288582183,4_1_2,5,3,260950,73
IntegTest,208580,65,5_2,1.08793969849246,5_2,2,3,210855,65
IntegTest,239230,68,5_3,1.08291457286432,5_3,3,3,238883,68
IntegTest,198631,57,5_2,1.07537688442211,5_2,2,3,204756,57
IntegTest,199747,53,5_3,1.07286432160804,5_3,3,3,196059,53
IntegTest,262515,63,5_2,1.06532663316583,5_2,2,3,259030,63
IntegTest,226486,71,5_3,1.05778894472362,5_3,3,3,226380,71
IntegTest,177936,79,5_3,1.05527638190955,5_3,3,3,175619,81
IntegTest,343926,68,4_1,1.0564617314931,4_1_2,5,3,309659,68
IntegTest,309650,67,5_3,1.04522613065327,5_3,3,3,325530,67
IntegTest,230686,76,5_3,1.02763819095477,5_3,3,3,230811,76
IntegTest,334671,69,5_3,1.02261306532663,5_3,3,3,358358,69
IntegTest,196507,58,5_2,1.01507537688442,5_2,2,3,196739,58
IntegTest,251841,77,4_1,1.01129234629862,4_1_2,5,3,248459,77
IntegTest,259310,75,5_3,1.00502512562814,5_3,3,3,250369,75
IntegTest,211830,73,4_5,1,4_5,1,3,211492,73
IntegTest,222933,87,4_1,0.98870765370138,4_1_1,4,3,223690,87
IntegTest,245266,77,4_1,0.986198243412798,4_1_1,4,3,241676,77
IntegTest,326861,68,4_5,0.984924623115578,4_5,1,3,332332,68
IntegTest,229275,58,4_5,0.982412060301508,4_5,1,3,229322,58
IntegTest,234189,84,4_1,0.978670012547051,4_1_1,4,3,233351,84
IntegTest,214227,70,4_1,0.973651191969887,4_1_1,4,3,215441,70
IntegTest,298219,69,4_5,0.969849246231156,4_5,1,3,272867,68
IntegTest,168915,65,4_5,0.967336683417085,4_5,1,3,169413,67
IntegTest,230518,67,4_5,0.959798994974874,4_5,1,3,230417,67
IntegTest,246797,58,4_5,0.957286432160804,4_5,1,3,244038,58
IntegTest,258771,74,4_1,0.95357590966123,4_1_1,4,3,255706,74
IntegTest,256214,66,4_5,0.934673366834171,4_5,1,3,251323,66
IntegTest,227850,58,4_5,0.9321608040201,4_5,1,3,228205,58
IntegTest,200249,80,4_1,0.910915934755332,4_1_1,4,3,201802,80
IntegTest,377541,66,4_5,0.899497487437186,4_5,1,3,362573,72
IntegTest,270962,78,4_5,0.869346733668342,4_5,1,3,266303,78
IntegTest,452436,62,4_5,0.85678391959799,4_5,1,3,456277,95
IntegTest,328654,53,4_5,0.846733668341709,4_5,1,3,326963,53
IntegTest,260806,64,4_5,0.844221105527638,4_5,1,3,249823,64
IntegTest,242878,74,4_5,0.841708542713568,4_5,1,3,240977,74
IntegTest,199615,54,4_5,0.836683417085427,4_5,1,3,205066,54
IntegTest,293048,61,4_5,0.819095477386935,4_5,1,3,282122,61
IntegTest,247502,58,4_5,0.816582914572864,4_5,1,3,244941,58
IntegTest,209784,74,4_1,0.813048933500627,4_1_1,4,3,208784,74
IntegTest,216890,83,4_1,0.810539523212045,4_1_1,4,3,216623,83
IntegTest,227728,67,4_5,0.798994974874372,4_5,1,3,227996,67
IntegTest,290270,58,4_5,0.796482412060302,4_5,1,3,296571,58
IntegTest,206224,76,4_1,0.79297365119197,4_1_1,4,3,204395,76
IntegTest,281550,57,4_5,0.791457286432161,4_5,1,3,277793,57
IntegTest,236066,63,4_5,0.78391959798995,4_5,1,3,235069,63
IntegTest,267858,63,4_5,0.763819095477387,4_5,1,3,262788,63
IntegTest,253268,62,4_5,0.761306532663317,4_5,1,3,246977,62
IntegTest,223964,80,4_1,0.757841907151819,4_1_1,4,3,224205,80
IntegTest,294631,65,4_5,0.756281407035176,4_5,1,3,270842,65
IntegTest,241408,58,4_5,0.748743718592965,4_5,1,3,238020,58
IntegTest,274286,72,4_5,0.731155778894472,4_5,1,3,261217,72
IntegTest,262771,60,4_5,0.721105527638191,4_5,1,3,253533,60
IntegTest,257639,67,4_5,0.703517587939699,4_5,1,3,254370,67
IntegTest,172866,82,4_1,0.695106649937265,4_1_1,4,3,165749,83
IntegTest,251445,69,4_5,0.678391959798995,4_5,1,3,245115,69
IntegTest,363708,79,4_5,0.675879396984925,4_5,1,3,370558,79
IntegTest,226663,73,4_5,0.673366834170854,4_5,1,3,227046,73
IntegTest,195590,81,4_1,0.667503136762861,4_1_1,4,3,194155,81
IntegTest,206934,77,4_1,0.662484316185696,4_1_1,4,3,204969,77
IntegTest,260523,72,4_5,0.658291457286432,4_5,1,3,250390,72
IntegTest,261699,61,4_5,0.648241206030151,4_5,1,3,251900,61
IntegTest,249960,75,4_5,0.638190954773869,4_5,1,3,245414,75
IntegTest,234024,60,4_5,0.635678391959799,4_5,1,3,233760,60
IntegTest,287247,66,4_5,0.633165829145729,4_5,1,3,277496,66
IntegTest,230868,69,4_1,0.622333751568381,4_1_1,4,3,230732,69
IntegTest,252737,73,4_5,0.620603015075377,4_5,1,3,249472,73
IntegTest,350576,69,4_5,0.605527638190955,4_5,1,3,354054,70
IntegTest,229776,65,4_1,0.59723964868256,4_1_1,4,3,229750,65
IntegTest,314341,66,4_5,0.585427135678392,4_5,1,3,305777,66
IntegTest,240236,64,4_5,0.577889447236181,4_5,1,3,239154,64
IntegTest,212758,75,4_1,0.572145545796738,4_1_1,4,3,210014,75
IntegTest,174947,61,4_1,0.569636135508156,4_1_1,4,3,175419,63
IntegTest,303335,67,4_5,0.5678391959799,4_5,1,3,297119,67
IntegTest,341498,69,4_5,0.555276381909548,4_5,1,3,328561,69
IntegTest,416175,74,4_5,0.552763819095477,4_5,1,3,426102,90
IntegTest,283026,68,4_5,0.545226130653266,4_5,1,3,271410,68
IntegTest,217721,71,4_1,0.542032622333751,4_1_1,4,3,216653,71
IntegTest,183700,73,4_1,0.531994981179423,4_1_1,4,3,179746,74
IntegTest,298860,72,4_5,0.525125628140704,4_5,1,3,291928,72
IntegTest,306921,61,4_5,0.520100502512563,4_5,1,3,292215,61
IntegTest,170306,75,4_1,0.51693851944793,4_1_1,4,3,167323,77
IntegTest,166420,75,4_1,0.49435382685069,4_1_1,4,3,161789,77
IntegTest,312248,81,4_5,0.484924623115578,4_5,1,3,287775,81
IntegTest,251941,66,4_5,0.482412060301508,4_5,1,3,248431,66
IntegTest,219870,71,4_1,0.479297365119197,4_1_1,4,3,219438,71
IntegTest,211965,65,4_1,0.47176913425345,4_1_1,4,3,211910,65
IntegTest,318399,63,4_5,0.454773869346734,4_5,1,3,295744,63
IntegTest,185654,60,4_1,0.451693851944793,4_1_1,4,3,183055,60
IntegTest,350811,77,4_5,0.449748743718593,4_5,1,3,308796,78
IntegTest,208706,74,4_1,0.446675031367629,4_1_1,4,3,209650,74
IntegTest,288588,68,4_5,0.442211055276382,4_5,1,3,271001,68
IntegTest,242604,65,4_1,0.421580928481807,4_1_1,4,3,243210,65
IntegTest,216412,68,4_1,0.41405269761606,4_1_1,4,3,216669,68
IntegTest,351329,67,4_5,0.409547738693467,4_5,1,3,313265,69
IntegTest,372833,65,4_5,0.399497487437186,4_5,1,3,325987,68
