,pop,depth,cell.type,cell.type.idx,batch
cell1,5_2,2,5_2,2,2
cell2,5_3,2,5_3,3,1
cell3,5_2,1.99748743718593,5_2,2,3
cell4,5_3,1.99497487437186,5_3,3,3
cell5,5_2,1.99246231155779,5_2,2,2
cell6,4_1,1.99247176913425,4_1_2,5,3
cell7,5_3,1.98743718592965,5_3,3,2
cell8,4_1,1.98745294855709,4_1_2,5,2
cell9,4_1,1.98494353826851,4_1_2,5,3
cell10,4_1,1.98243412797992,4_1_2,5,2
cell11,4_1,1.97992471769134,4_1_2,5,3
cell12,4_1,1.97741530740276,4_1_2,5,2
cell13,5_2,1.97236180904523,5_2,2,3
cell14,4_1,1.9723964868256,4_1_2,5,3
cell15,5_2,1.96733668341709,5_2,2,3
cell16,5_2,1.96482412060302,5_2,2,1
cell17,4_1,1.96486825595985,4_1_2,5,1
cell18,4_1,1.96235884567127,4_1_2,5,1
cell19,4_1,1.95984943538268,4_1_2,5,2
cell20,5_3,1.95477386934673,5_3,3,1
cell21,4_1,1.95483061480552,4_1_2,5,1
cell22,5_2,1.94974874371859,5_2,2,1
cell23,4_1,1.94981179422836,4_1_2,5,3
cell24,4_1,1.94730238393977,4_1_2,5,1
cell25,4_1,1.94479297365119,4_1_2,5,3
cell26,4_1,1.94228356336261,4_1_2,5,1
cell27,5_3,1.93718592964824,5_3,3,2
cell28,5_3,1.93467336683417,5_3,3,2
cell29,4_1,1.93475533249686,4_1_2,5,3
cell30,5_2,1.92964824120603,5_2,2,2
cell31,4_1,1.9297365119197,4_1_2,5,3
cell32,5_3,1.92462311557789,5_3,3,1
cell33,5_3,1.92211055276382,5_3,3,3
cell34,4_1,1.92220828105395,4_1_2,5,3
cell35,5_3,1.91708542713568,5_3,3,1
cell36,4_1,1.91718946047679,4_1_2,5,2
cell37,5_2,1.91206030150754,5_2,2,1
cell38,5_2,1.90954773869347,5_2,2,2
cell39,4_1,1.90966122961104,4_1_2,5,2
cell40,5_2,1.90452261306533,5_2,2,2
cell41,5_3,1.90201005025126,5_3,3,3
cell42,5_2,1.89949748743719,5_2,2,3
cell43,4_1,1.89962358845671,4_1_2,5,1
cell44,5_3,1.89447236180905,5_3,3,3
cell45,5_2,1.89195979899498,5_2,2,2
cell46,5_2,1.8894472361809,5_2,2,2
cell47,4_1,1.88958594730238,4_1_2,5,2
cell48,4_1,1.8870765370138,4_1_2,5,3
cell49,4_1,1.88456712672522,4_1_2,5,1
cell50,4_1,1.88205771643664,4_1_2,5,2
cell51,5_2,1.87688442211055,5_2,2,1
cell52,5_3,1.87437185929648,5_3,3,3
cell53,4_1,1.87452948557089,4_1_2,5,1
cell54,5_3,1.86934673366834,5_3,3,3
cell55,4_1,1.86951066499373,4_1_2,5,1
cell56,5_3,1.8643216080402,5_3,3,3
cell57,5_3,1.86180904522613,5_3,3,1
cell58,5_2,1.85929648241206,5_2,2,2
cell59,5_2,1.85678391959799,5_2,2,1
cell60,4_1,1.85696361355082,4_1_2,5,1
cell61,5_2,1.85175879396985,5_2,2,3
cell62,5_2,1.84924623115578,5_2,2,3
cell63,4_1,1.84943538268507,4_1_2,5,2
cell64,4_1,1.84692597239649,4_1_2,5,1
cell65,5_2,1.84170854271357,5_2,2,2
cell66,5_3,1.8391959798995,5_3,3,3
cell67,5_2,1.83668341708543,5_2,2,2
cell68,4_1,1.83688833124216,4_1_2,5,3
cell69,5_3,1.83165829145729,5_3,3,2
cell70,4_1,1.83186951066499,4_1_2,5,3
cell71,5_2,1.82663316582915,5_2,2,3
cell72,5_3,1.82412060301508,5_3,3,1
cell73,4_1,1.82434127979925,4_1_2,5,1
cell74,4_1,1.82183186951066,4_1_2,5,3
cell75,4_1,1.81932245922208,4_1_2,5,2
cell76,4_1,1.8168130489335,4_1_2,5,1
cell77,5_3,1.81155778894472,5_3,3,3
cell78,4_1,1.81179422835634,4_1_2,5,1
cell79,5_3,1.80653266331658,5_3,3,2
cell80,5_3,1.80402010050251,5_3,3,2
cell81,5_2,1.80150753768844,5_2,2,3
cell82,5_2,1.79899497487437,5_2,2,2
cell83,5_2,1.7964824120603,5_2,2,3
cell84,4_1,1.79673776662484,4_1_2,5,3
cell85,5_2,1.79145728643216,5_2,2,1
cell86,5_3,1.78894472361809,5_3,3,3
cell87,5_2,1.78643216080402,5_2,2,1
cell88,5_3,1.78391959798995,5_3,3,3
cell89,5_3,1.78140703517588,5_3,3,1
cell90,5_3,1.77889447236181,5_3,3,3
cell91,5_2,1.77638190954774,5_2,2,3
cell92,5_2,1.77386934673367,5_2,2,1
cell93,5_2,1.7713567839196,5_2,2,2
cell94,5_2,1.76884422110553,5_2,2,1
cell95,4_1,1.76913425345044,4_1_2,5,3
cell96,5_3,1.76381909547739,5_3,3,3
