"","ENSMUSG00000023043","ENSMUSG00000031972","ENSMUSG00000032085","ERCC-00116","ERCC-00108","ERCC-00009","ERCC-00111","ENSMUSG00000032231","ENSMUSG00000049382","ERCC-00043","ERCC-00003","ERCC-00145","ERCC-00042","ENSMUSG00000032366","ERCC-00113","ERCC-00092","ERCC-00136","ENSMUSG00000029484","ENSMUSG00000079029","ERCC-00171","ENSMUSG00000024659","ERCC-00112","ERCC-00022","ENSMUSG00000040152","ERCC-00076","ENSMUSG00000072905","ERCC-00004","ENSMUSG00000035783","ERCC-00046","ENSMUSG00000005892","ENSMUSG00000010592","ENSMUSG00000096221","ENSMUSG00000097581","ENSMUSG00000097213","ENSMUSG00000083538","ERCC-00060","ENSMUSG00000074818","ENSMUSG00000078566","ENSMUSG00000029761","ENSMUSG00000005983","ENSMUSG00000000805","ENSMUSG00000060441","ENSMUSG00000078380","ERCC-00025","ENSMUSG00000022753","ENSMUSG00000079034","ERCC-00035","ENSMUSG00000069475","ENSMUSG00000085774","ENSMUSG00000089940","ENSMUSG00000074472","ENSMUSG00000029861","ENSMUSG00000033306","ENSMUSG00000032060","ERCC-00044","ERCC-00165","ENSMUSG00000047793","ENSMUSG00000079505","ENSMUSG00000020258","ENSMUSG00000054517","ENSMUSG00000098235","ENSMUSG00000093847","ENSMUSG00000086799","ENSMUSG00000031910","ENSMUSG00000095905","ENSMUSG00000025867","ENSMUSG00000095180","ENSMUSG00000097467","ENSMUSG00000097136","ENSMUSG00000092181","ERCC-00131","ENSMUSG00000022425","ENSMUSG00000022875","ENSMUSG00000037593","ENSMUSG00000079906","ENSMUSG00000085399","ENSMUSG00000087338","ENSMUSG00000003378","ENSMUSG00000082604","ENSMUSG00000087480","ENSMUSG00000093606","ENSMUSG00000048163","ENSMUSG00000032726","ENSMUSG00000038793","ENSMUSG00000033615","ENSMUSG00000000184","ENSMUSG00000034730","ENSMUSG00000060550","ENSMUSG00000044703","ENSMUSG00000027562","ENSMUSG00000089861","ENSMUSG00000097737","ENSMUSG00000025993","ENSMUSG00000042386","ENSMUSG00000079662","ENSMUSG00000090210","ENSMUSG00000028128","ENSMUSG00000097879","ENSMUSG00000095799","ENSMUSG00000097229"
"ola_mES_2i_2_1.counts",0,1.30122567536776,0,0,0,0,0,4.29309313935668,4.37489341047837,0,0,0,0,3.41482953045221,0,0,1.02336101499274,0,0,0,0,0,3.29014299468915,0,0,0,0.637246233091287,0,1.9794636221636,5.76296465299513,1.30122567536776,2.60103783003557,0,0,0,0,0,2.53262105799365,5.45750499584597,0,0,0,0,0,0.637246233091287,0,0,0,0,1.02336101499274,1.02336101499274,0,2.53262105799365,0,0,0,0,0,0,0,0,0,0,0,0.637246233091287,0,1.84807577775508,1.30122567536776,0,0,0,0,4.55885556475786,0,0,1.30122567536776,0,0,0,0,0.637246233091287,1.51843218067683,0,4.36360941089928,0,0,0,0,0.637246233091287,0,0,0,0,0,0,0,0,0,0,0
"ola_mES_2i_2_10.counts",0,0.309332887905038,0,0,0.16657991305995,0,0,0,0,0,0,0,0,3.59803951078339,0,0.16657991305995,1.53151066241725,0,0,0.545245438799913,3.17130188653844,0,0,0,0,0,0,0,0.819253486055593,4.67654533029051,4.43316392178689,0,0,0,0,0,0.16657991305995,5.34964795405929,3.96037978293306,0,0,0,0.309332887905038,0,0,0,0,0,0,0,0,0,2.21447567900599,0,0,0,0,0,0,0,0,0,0,0,0,0.16657991305995,5.25584475215105,0,0.16657991305995,0.16657991305995,0,0,0,0,0.16657991305995,0,0,0,0,0.309332887905038,0,0.309332887905038,3.44844134300556,5.47491065758966,0,0,0,0,0.309332887905038,2.72911846327011,0.309332887905038,0,0,0,0,0,0,0,0.16657991305995,0.43422993186865
"ola_mES_2i_2_11.counts",0,0.852152548938079,0,0,0,1.17592742374242,0,0,0,0,0,0,0,3.54435101538309,0,0,0,0,0,0.370341771391966,0,0,0,0,0,0.370341771391966,0,0,2.04426017171057,5.23358399600871,4.65811809460995,0.370341771391966,0,0,0,0,0,6.33342133186451,3.67750845973276,0,0,0,0,0,0.370341771391966,0,0,0,0,0,0.370341771391966,0,3.05260054121676,0,0,0,0,0,0,0,0.639988456287535,3.17219101795646,0,0,0,0,0.639988456287535,0,0.370341771391966,0.639988456287535,0,0,0.370341771391966,0,0,0.852152548938079,1.02708691811169,0,0,0.370341771391966,0,0,0,0,0,0,0,0,0.852152548938079,2.38518288967787,0.639988456287535,0,0,0,0,0,0,0,0,0
"ola_mES_2i_2_12.counts",0,0.212889496998917,0,0,0,0,0,0,0,0,0,0,0,5.51810059264165,0,0,1.28363219189512,0,0,1.21564815364914,0,0,0,0,0,0.388316133508856,0.212889496998917,0,1.9696888983597,0.212889496998917,4.24225653686808,0,0,0.212889496998917,0,0,3.46079340031,5.82623103002239,3.84564491273065,0,0,0,0,0,0,0.212889496998917,0,0,0,0.212889496998917,0,0.388316133508856,2.57258506404528,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3641181198868,0.212889496998917,0,0,0,0,0,0,0.212889496998917,0,0,0,0,0,0,0,4.20046990987651,0.388316133508856,0.212889496998917,0,0,0,0,4.59255236222149,0.388316133508856,0,0,0,0,0,0,0.212889496998917,0,0
"ola_mES_2i_2_13.counts",0,0.252142559300332,0,0,0,0,0,0,0.133997300705704,0,0,0,0,0.453339890383324,0,0.453339890383324,0.540548684249701,0,0,0.133997300705704,3.18162025726818,0,0.133997300705704,0,0,0,0,0,1.05224247956748,4.3381582003828,6.56353350507608,0,0,0,0,0,0,4.5530373319878,2.55733179145148,0.620758406537404,0.133997300705704,0.133997300705704,0,0,0,0,0,0,0,0,0.252142559300332,0,3.30994834487278,0,0,0,0,0,0.133997300705704,0,0.133997300705704,0.133997300705704,0,1.35268449084121,0,0.133997300705704,0.540548684249701,0.133997300705704,0,0,0,0,0,0,0,0.133997300705704,0,0,0,0,0.133997300705704,0.133997300705704,0,0.357792758870471,0.252142559300332,0.133997300705704,0,0,0,3.92703451585532,0.133997300705704,0,0,0,0,0,0,0,0,0
"ola_mES_2i_2_14.counts",0,1.52636942321371,0,0,0,0,0,5.00969848087392,0,0,0,1.75818902967824,0,4.3698428691844,0.788675605672862,0,0,0,0,0,0,0,0,0,0,0,0,0.788675605672862,1.52636942321371,4.14985763229635,2.36121634457829,0.788675605672862,0,0,0,0,0,4.85398850437824,5.98130810257787,0,0,0,0,0,0.788675605672862,0,0,0,0,0,0,0.788675605672862,2.87957606515677,0,0,0,0,0,0,0,0.788675605672862,0.788675605672862,0,0,0,0,1.75818902967824,0,0,0,0,0,0,0,0,0,0,0,0,0.788675605672862,0,0.788675605672862,0,1.52636942321371,0,0,0,0,0.788675605672862,4.52435587217968,0.788675605672862,0,0,3.54424220132455,0,0,0,0,0,1.52636942321371
"ola_mES_2i_2_15.counts",0,0.254074733024931,0,0,0,0,0,0,0,0,1.49766081423069,0.544165837707063,0,5.21079095964346,0.1350850014638,0,1.15357736048377,0,0,0,0,0,0.624763652704842,0,0,0,0.360399558098949,0,1.70177209551994,3.88032544095042,6.03957745677092,0,0.1350850014638,0,0,0,0,5.4277724481199,0.254074733024931,0,0,0.254074733024931,0.254074733024931,0,0,0,0,0,0,0,0.1350850014638,0,0,0,0,0,0,0,0.1350850014638,0.1350850014638,0,0,0,0,0,0,0.360399558098949,0.1350850014638,0,0,0,0,0,0,0,0,0,0,0.254074733024931,0,0,0,0.1350850014638,0.1350850014638,0,0,0,0,0,4.7049068758861,0.1350850014638,0,0,0,0,0,0,0.1350850014638,0,0
"ola_mES_2i_2_16.counts",0,0.226802835738999,0,0,0.411556497501566,0,0,4.3186008682616,0.411556497501566,0,0,0,0,4.06527715314433,0,0.226802835738999,0.821062015146736,0,0,0,2.60080210890901,0,0,0,0,0,0,0,1.26577081197367,4.29804713163285,4.9525083989701,0,0,0,0.226802835738999,0,0,4.897033930747,2.94839726194897,0,0,0.411556497501566,0,0,0.226802835738999,0.226802835738999,0,0,0,0.411556497501566,1.11075818697022,0,4.29110092271385,0,0,0,0,0,0,0.226802835738999,0,0,0,0,0.411556497501566,0,1.99667959371755,0.226802835738999,0.226802835738999,0,0,0,0,0,0,0,0,0,0,0,0.226802835738999,0,0,5.69571197797953,0.226802835738999,0,0,0.411556497501566,0,4.65028762617602,0.567440780767915,0.821062015146736,0,0,0,0,0,0,0,0
"ola_mES_2i_2_17.counts",2.83292379845981,0.268191608054885,0,0,0,0,0,0.268191608054885,0,0,0,0,0,4.10551438809986,0,0.268191608054885,0.479455893333954,0,0,0.479455893333954,3.50548996339345,0,0,0,0,0,0,0,1.1484126204795,5.66612010781101,4.80055836480889,0.479455893333954,0,0,0,0,0.268191608054885,1.04576901246741,4.7432884742634,0,0,0,0,0,0.268191608054885,0.268191608054885,0,0,0,0,0,0,5.36387092526742,1.77860036611472,0,0,0,0,0,0,0.479455893333954,0,0,0,0,0,0.931371763800438,0.653778809627907,0.931371763800438,0,0,0,0,0,0,1.87744131176496,0,0.268191608054885,0,0,0,0,0,0.479455893333954,0,0.268191608054885,0,0.268191608054885,0.268191608054885,4.78011042028304,0.268191608054885,0.479455893333954,1.32664492499027,0,0,0,0,0,0,2.46520706239988
"ola_mES_2i_2_18.counts",0,0.671849182881011,0,0,0.59939571964047,0.343950654274358,0,0.128249267498106,5.1548912205391,0,0,0,0,2.40927477418096,0,0,0.436540801315584,0,0,0.671849182881011,0,0,0,0,0,0.521279818944035,0,0.241904606924285,1.98711677520172,4.80931446539067,1.31821006104027,0,0.128249267498106,0,0,0,0.241904606924285,5.67176089038495,3.93343417766001,0,0,0,0.128249267498106,0,0,0.128249267498106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241904606924285,0,3.59192177671532,0.128249267498106,0.128249267498106,0,0.739405929047695,1.15982701076507,0,0,0,0,0,0,0,0,0,0,0,0,0.343950654274358,0.128249267498106,0.128249267498106,0.343950654274358,0,0,0,0,0.128249267498106,5.6055665995727,0.241904606924285,3.42849871650331,0,0,0,0.343950654274358,0,0,0,0
