,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330
1,0,0,0,0,22,0,0,126,0,0,16,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,7,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,2,0,0,2,19,0,0,0,0,3,2,0,11,0,13,0,0,0,0,0,0,8,1,0,0,1,0,0,0,2,0,8,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,14,3,0,0,4,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,2,2,0,0,0,2,0,0,0,0,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,10,0,7,7,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,8,39,5,0,0,0,0,0,1,0,3,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,14,0,0,0,11,0,3,0
2,0,0,0,0,0,0,0,14,0,5,60,4,5,0,0,0,2,0,0,0,1,1,0,0,11,0,5,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,13,0,0,0,3,0,0,0,1,0,1,0,7,0,0,22,1,0,0,0,0,0,4,0,0,7,0,0,0,0,0,13,0,0,9,0,0,0,0,0,2,0,0,3,1,0,0,1,0,0,0,0,0,15,3,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,5,6,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,6,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,6,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,0,4,0,0,1,1,0,1,0,0,0,0,0,4,3,0,0,0,0,0,9,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,4,2,0,0,44,0,0,0,12,0,3,0,0,0,3,5,0,0,0,0,54,0,0,0,2,0,0,0,0,0,0,0
3,0,0,1,0,46,0,0,14,0,0,5,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,12,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,18,1,0,0,0,0,0,0,26,21,0,0,0,0,0,0,25,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,4,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,37,0,0,0,0,0,0,4,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,1,2,0,0,21,0,0,1,25,0,0,0,6,0,0,0
4,0,1,0,0,0,0,0,98,0,0,18,4,1,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0,1,0,0,1,0,0,0,26,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,3,2,0,1,0,0,0,1,0,0,1,0,7,0,7,1,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,12,0,7,2,0,2,2,0,11,0,0,0,0,0,1,0,0,3,0,0,0,0,0,8,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,9,0,14,1,0,0,0,1,2,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,7,11,0,0,0,0,1,16,0,0,0,1,8,0,0,1,4,0,0,0,0,0,0,0
5,0,0,0,0,1,0,28,87,0,8,28,0,0,0,1,0,0,0,0,0,0,0,0,8,45,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,6,0,2,0,16,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,4,0,0,0,0,0,0,1,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,8,1,0,0,0,0,0,0,43,0,0,0,0,0,3,1,0,0,0,3,0,0,20,6,6,0,0,6,0,0,0,9,0,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,0,25,87,6,1,0,0,0,0,30,0,1,1,0,0,2,3,0,0,0,2,0,0,0,0,5,13,0,0,0,0,0,0,0,12,0,0,62,0,0,1,0,0,1,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,7,0,0,0,0,0
6,0,1,0,0,1,0,0,29,0,12,15,0,5,3,0,0,0,1,0,1,0,0,0,0,0,5,11,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,10,0,0,2,0,0,0,1,0,16,0,0,0,0,0,0,0,1,1,1,0,5,0,1,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10,0,0,18,0,0,0,0,0,0,1,0,2,0,2,2,1,1,0,0,0,2,36,7,2,0,0,0,20,1,0,0,0,0,9,0,0,0,0,0,2,0,7,0,0,0,0,34,0,7,0,4,0,0,0,0,0,0,20,0,2,12,1,0,0,0,0,0,0,0,0,0,0,5,23,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,8,0,0,0,10,0,0,0,0,2,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,2,12,0,0,0,1,0,7,0,1,0,0,0,0,0,0,6,13,0,1,0,0,0,0,0,0,1,0,8,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,0,0,18,0,0,0,0,1,4,9,0,2,1,0,9,0,0,0,8,0,0,2,0,0,0,0
7,0,0,0,0,0,0,0,37,0,0,25,6,7,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,1,3,0,0,0,0,9,3,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,1,0,0,6,0,27,0,4,0,0,2,0,4,0,34,0,10,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,18,0,0,0,0,0,1,55,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,0,1,0,0,2,0,0,0,10,3,0,0,18,0,0,0,0,9,4,2,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,2,0,0,0,0,46,0,0,0,8,4,4,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,7,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,6,0,0,9,0,0,1,1,0,0,0,0,0,7,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,32,1,0,2,0,3,1,0,4,0,0,0,1,0,0,1,3,0,0,0,0,7,0,0
8,0,0,0,0,9,0,14,14,0,0,27,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,1,0,0,0,10,0,0,6,0,20,3,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,3,0,1,10,0,0,0,0,21,0,0,0,0,0,0,0,0,1,17,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,2,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,32,11,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,1,5,0,3,0,0,0,0,0,1,0,0,0,0,3,8,1,3,10,0,0,0,37,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,2,0,0,0,11,0,0,6,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,1,0,0,0
9,0,1,0,0,0,0,0,28,0,0,25,2,3,0,0,1,0,0,0,0,0,0,0,33,12,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,30,1,0,0,4,0,0,0,0,0,1,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,4,2,0,0,5,2,0,2,5,0,0,0,0,0,0,0,0,0,4,11,0,0,1,0,0,0,0,0,0,0,0,18,0,8,0,2,0,0,0,0,0,4,32,0,0,7,6,0,0,0,0,0,0,0,0,0,0,4,72,0,0,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,0,4,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,10,0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,1,0,7,10,0,0,0,0,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,1,22,0,0,0,0,0,1,5,0,0,1,0,0,3,0,1,10,0,0,0,0,0,0,0
10,0,0,0,0,3,0,0,9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,24,0,0,0,0,0,0,0,0,3,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,2,2,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,8,8,11,1,1,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,53,0,1,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,4,0,1,8,2,8,11,0,0,1,0,0,5,0,0,3,0,0,2,0,0,0,3,0,6,0,2,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,26,0,1,17,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,3,0,0,0
