orig.ident,nCount_ATAC,nFeature_ATAC,pop,depth,cell.type,cell.type.idx,batch,predicted.l1.score,predicted.l1
IntegTest,569,79,5_2,2,5_2,2,2,0.364192097747406,4_5
IntegTest,596,96,5_2,1.98994974874372,5_2,2,2,0.399557151309456,4_5
IntegTest,504,82,4_1,1.98745294855709,4_1_2,5,2,0.478127030892121,4_1
IntegTest,625,75,5_2,1.98241206030151,5_2,2,2,0.45455462906626,5_2
IntegTest,352,65,5_3,1.97738693467337,5_3,3,2,0.419770120851782,4_1
IntegTest,312,69,5_3,1.97236180904523,5_3,3,2,0.319686840684182,5_3
IntegTest,562,81,5_2,1.96482412060302,5_2,2,2,0.423847377160274,5_2
IntegTest,439,71,5_3,1.95979899497487,5_3,3,2,0.39920862612058,4_1
IntegTest,612,72,5_2,1.94723618090452,5_2,2,2,0.283440859444882,5_2
IntegTest,635,78,5_2,1.93969849246231,5_2,2,2,0.395983115832578,4_5
IntegTest,625,85,5_2,1.93467336683417,5_2,2,2,0.37707450575808,5_2
IntegTest,433,72,4_1,1.93224592220828,4_1_2,5,2,0.589529205329948,4_1
IntegTest,413,75,4_1,1.9297365119197,4_1_2,5,2,0.453350927776165,4_1
IntegTest,314,67,5_3,1.92462311557789,5_3,3,2,0.394976444188914,4_5
IntegTest,558,75,4_1,1.91718946047679,4_1_2,5,2,0.446587459720542,4_1
IntegTest,429,65,5_3,1.89447236180905,5_3,3,2,0.466049536871076,4_5
IntegTest,1450,72,4_1,1.89460476787955,4_1_2,5,2,0.410364220881959,4_5
IntegTest,569,83,4_1,1.87452948557089,4_1_2,5,2,0.43551933250165,4_5
IntegTest,396,78,5_3,1.86683417085427,5_3,3,2,0.323744702453035,4_1
IntegTest,463,73,5_2,1.84170854271357,5_2,2,2,0.432062133611324,4_1
IntegTest,642,82,5_2,1.8391959798995,5_2,2,2,0.372311155590928,5_2
IntegTest,390,78,5_3,1.82914572864322,5_3,3,2,0.406054720448202,4_1
IntegTest,682,85,5_2,1.82663316582915,5_2,2,2,0.4090083380202,5_2
IntegTest,394,76,5_3,1.80653266331658,5_3,3,2,0.414063114813419,4_1
IntegTest,617,86,5_2,1.79899497487437,5_2,2,2,0.452530301003117,4_5
