pop,depth,cell.type,cell.type.idx,batch
4_1,1.99247176913425,4_1_2,5,3
5_2,1.98743718592965,5_2,2,3
5_3,1.97989949748744,5_3,3,3
5_3,1.9748743718593,5_3,3,3
5_3,1.95477386934673,5_3,3,3
5_2,1.95226130653266,5_2,2,3
4_1,1.94479297365119,4_1_2,5,3
5_3,1.93718592964824,5_3,3,3
4_1,1.93475533249686,4_1_2,5,3
4_1,1.92471769134253,4_1_2,5,3
5_3,1.91206030150754,5_3,3,3
5_2,1.9070351758794,5_2,2,3
5_3,1.90452261306533,5_3,3,3
5_2,1.89698492462312,5_2,2,3
4_1,1.88456712672522,4_1_2,5,3
5_2,1.87688442211055,5_2,2,3
5_3,1.87437185929648,5_3,3,3
4_1,1.86700125470514,4_1_2,5,3
5_2,1.86180904522613,5_2,2,3
5_2,1.85929648241206,5_2,2,3
5_2,1.85678391959799,5_2,2,3
4_1,1.85194479297365,4_1_2,5,3
5_3,1.84422110552764,5_3,3,3
5_3,1.83165829145729,5_3,3,3
4_1,1.81179422835634,4_1_2,5,3
4_1,1.79673776662484,4_1_2,5,3
5_3,1.78643216080402,5_3,3,3
4_1,1.78168130489335,4_1_2,5,3
4_1,1.77917189460477,4_1_2,5,3
5_2,1.76381909547739,5_2,2,3
5_3,1.76130653266332,5_3,3,3
5_2,1.75879396984925,5_2,2,3
5_2,1.75628140703518,5_2,2,3
4_1,1.75658720200753,4_1_2,5,3
5_3,1.74623115577889,5_3,3,3
4_1,1.74404015056462,4_1_2,5,3
5_2,1.73618090452261,5_2,2,3
5_3,1.73366834170854,5_3,3,3
4_1,1.72647427854454,4_1_2,5,3
5_3,1.71608040201005,5_3,3,3
5_2,1.70100502512563,5_2,2,3
5_2,1.69346733668342,5_2,2,3
5_2,1.68592964824121,5_2,2,3
5_2,1.68341708542714,5_2,2,3
5_2,1.68090452261307,5_2,2,3
5_3,1.67839195979899,5_3,3,3
5_3,1.67587939698492,5_3,3,3
5_2,1.6608040201005,5_2,2,3
5_3,1.65829145728643,5_3,3,3
4_1,1.63864491844417,4_1_2,5,3
5_2,1.62814070351759,5_2,2,3
5_3,1.62562814070352,5_3,3,3
5_3,1.62060301507538,5_3,3,3
4_1,1.62107904642409,4_1_2,5,3
5_2,1.61557788944724,5_2,2,3
4_1,1.61606022584693,4_1_2,5,3
5_3,1.60804020100502,5_3,3,3
4_1,1.59598494353827,4_1_2,5,3
4_1,1.5909661229611,4_1_2,5,3
