orig.ident,nCount_RNA,nFeature_RNA,pop,depth,cell.type,cell.type.idx,batch,nCount_SCT,nFeature_SCT
IntegTest,115167,45,4_1,1.99247176913425,4_1_2,5,3,165875,63
IntegTest,119055,60,5_2,1.98743718592965,5_2,2,3,163909,71
IntegTest,99164,76,5_3,1.97989949748744,5_3,3,3,174601,93
IntegTest,166183,75,5_3,1.9748743718593,5_3,3,3,143436,75
IntegTest,113634,70,5_3,1.95477386934673,5_3,3,3,166018,78
IntegTest,203813,72,5_2,1.95226130653266,5_2,2,3,131582,72
IntegTest,98625,67,4_1,1.94479297365119,4_1_2,5,3,174974,94
IntegTest,157553,71,5_3,1.93718592964824,5_3,3,3,146586,71
IntegTest,191505,51,4_1,1.93475533249686,4_1_2,5,3,135043,51
IntegTest,166314,54,4_1,1.92471769134253,4_1_2,5,3,143322,54
IntegTest,104060,73,5_3,1.91206030150754,5_3,3,3,171474,87
IntegTest,165989,75,5_2,1.9070351758794,5_2,2,3,143002,74
IntegTest,178592,56,5_3,1.90452261306533,5_3,3,3,138927,56
IntegTest,135628,66,5_2,1.89698492462312,5_2,2,3,155876,67
IntegTest,137395,61,4_1,1.88456712672522,4_1_2,5,3,155270,66
IntegTest,140115,59,5_2,1.87688442211055,5_2,2,3,153812,60
IntegTest,114658,72,5_3,1.87437185929648,5_3,3,3,165483,80
IntegTest,97891,65,4_1,1.86700125470514,4_1_2,5,3,174925,97
IntegTest,157150,58,5_2,1.86180904522613,5_2,2,3,146798,58
IntegTest,184137,66,5_2,1.85929648241206,5_2,2,3,137849,66
IntegTest,132314,69,5_2,1.85678391959799,5_2,2,3,156927,70
IntegTest,97600,61,4_1,1.85194479297365,4_1_2,5,3,175167,98
IntegTest,96794,62,5_3,1.84422110552764,5_3,3,3,176116,106
IntegTest,155456,65,5_3,1.83165829145729,5_3,3,3,147511,65
IntegTest,123162,55,4_1,1.81179422835634,4_1_2,5,3,161954,66
IntegTest,97484,55,4_1,1.79673776662484,4_1_2,5,3,175201,104
IntegTest,124087,71,5_3,1.78643216080402,5_3,3,3,161240,76
IntegTest,116551,54,4_1,1.78168130489335,4_1_2,5,3,165838,67
IntegTest,96168,53,4_1,1.77917189460477,4_1_2,5,3,175965,106
IntegTest,170376,67,5_2,1.76381909547739,5_2,2,3,142326,67
IntegTest,130918,70,5_3,1.76130653266332,5_3,3,3,157864,73
IntegTest,117818,63,5_2,1.75879396984925,5_2,2,3,164175,67
IntegTest,134358,68,5_2,1.75628140703518,5_2,2,3,156566,71
IntegTest,89965,53,4_1,1.75658720200753,4_1_2,5,3,180422,107
IntegTest,151630,69,5_3,1.74623115577889,5_3,3,3,149031,69
IntegTest,87916,56,4_1,1.74404015056462,4_1_2,5,3,181629,107
IntegTest,169876,63,5_2,1.73618090452261,5_2,2,3,142051,63
IntegTest,131565,69,5_3,1.73366834170854,5_3,3,3,157609,69
IntegTest,159255,53,4_1,1.72647427854454,4_1_2,5,3,145870,53
IntegTest,141173,70,5_3,1.71608040201005,5_3,3,3,153341,70
IntegTest,171309,60,5_2,1.70100502512563,5_2,2,3,141536,60
IntegTest,182074,71,5_2,1.69346733668342,5_2,2,3,138786,71
IntegTest,121440,74,5_2,1.68592964824121,5_2,2,3,161989,77
IntegTest,201346,68,5_2,1.68341708542714,5_2,2,3,132880,68
IntegTest,231468,69,5_2,1.68090452261307,5_2,2,3,127293,69
IntegTest,192870,74,5_3,1.67839195979899,5_3,3,3,134390,74
IntegTest,164387,72,5_3,1.67587939698492,5_3,3,3,144049,72
IntegTest,124995,72,5_2,1.6608040201005,5_2,2,3,159998,74
IntegTest,185509,63,5_3,1.65829145728643,5_3,3,3,137514,63
IntegTest,93452,55,4_1,1.63864491844417,4_1_2,5,3,177953,107
IntegTest,231621,71,5_2,1.62814070351759,5_2,2,3,125907,71
IntegTest,138890,79,5_3,1.62562814070352,5_3,3,3,154368,79
IntegTest,154114,67,5_3,1.62060301507538,5_3,3,3,147983,67
IntegTest,159845,53,4_1,1.62107904642409,4_1_2,5,3,145951,53
IntegTest,106717,73,5_2,1.61557788944724,5_2,2,3,169712,77
IntegTest,116419,65,4_1,1.61606022584693,4_1_2,5,3,165219,73
IntegTest,158175,68,5_3,1.60804020100502,5_3,3,3,146311,68
IntegTest,94343,50,4_1,1.59598494353827,4_1_2,5,3,177829,106
IntegTest,95114,58,4_1,1.5909661229611,4_1_2,5,3,176425,106
IntegTest,193385,73,5_2,1.58291457286432,5_2,2,3,134566,73
IntegTest,106521,64,5_2,1.57286432160804,5_2,2,3,170240,75
IntegTest,110637,69,5_3,1.56532663316583,5_3,3,3,167480,76
IntegTest,140081,75,5_3,1.56030150753769,5_3,3,3,153697,75
IntegTest,100203,41,4_1,1.56085319949812,4_1_2,5,3,173737,82
IntegTest,122600,71,5_2,1.55276381909548,5_2,2,3,161799,73
IntegTest,151551,57,4_1,1.55332496863237,4_1_2,5,3,149019,57
IntegTest,146007,71,5_2,1.53768844221106,5_2,2,3,151286,71
IntegTest,153920,83,5_3,1.51256281407035,5_3,3,3,148033,83
IntegTest,92119,49,4_1,1.49811794228356,4_1_2,5,3,178093,106
IntegTest,90011,55,4_1,1.48808030112923,4_1_2,5,3,180016,107
IntegTest,132323,59,5_2,1.47989949748744,5_2,2,3,156920,62
IntegTest,94055,51,4_1,1.47553324968632,4_1_2,5,3,177532,106
IntegTest,148744,64,5_2,1.46984924623116,5_2,2,3,150155,64
IntegTest,163371,56,4_1,1.45545796737767,4_1_2,5,3,144620,56
IntegTest,131682,70,5_2,1.44472361809045,5_2,2,3,157422,69
IntegTest,122063,62,5_2,1.43969849246231,5_2,2,3,161647,67
IntegTest,135889,75,5_3,1.42211055276382,5_3,3,3,155823,75
IntegTest,99620,51,4_1,1.42032622333752,4_1_2,5,3,173424,84
IntegTest,109445,71,5_3,1.40201005025126,5_3,3,3,169519,78
IntegTest,154620,65,5_3,1.39195979899498,5_3,3,3,147705,65
IntegTest,160493,71,5_3,1.3894472361809,5_3,3,3,145281,71
IntegTest,155275,65,5_2,1.37185929648241,5_2,2,3,147721,65
IntegTest,112917,75,5_3,1.3643216080402,5_3,3,3,167390,79
IntegTest,122630,61,5_2,1.35175879396985,5_2,2,3,161621,65
IntegTest,252622,45,4_1,1.34755332496863,4_1_2,5,3,120453,45
IntegTest,107136,70,5_3,1.33417085427136,5_3,3,3,170247,77
IntegTest,194682,60,5_2,1.33165829145729,5_2,2,3,135023,60
IntegTest,159457,46,4_1,1.32998745294856,4_1_2,5,3,146018,46
IntegTest,232587,54,4_1,1.29987452948557,4_1_2,5,3,125559,54
IntegTest,209222,51,4_1,1.29736511919699,4_1_2,5,3,131261,51
IntegTest,170554,54,4_1,1.29234629861982,4_1_2,5,3,142254,54
IntegTest,114530,36,4_1,1.28732747804266,4_1_2,5,3,165795,60
IntegTest,157937,44,4_1,1.27478042659975,4_1_2,5,3,146670,44
IntegTest,145875,53,4_1,1.26976160602258,4_1_2,5,3,151331,53
IntegTest,198262,79,5_2,1.23618090452261,5_2,2,3,133730,79
IntegTest,186089,54,4_1,1.23713927227102,4_1_2,5,3,137292,54
IntegTest,207618,46,4_1,1.23212045169385,4_1_2,5,3,130986,46
IntegTest,179304,77,5_2,1.22613065326633,5_2,2,3,139197,77
IntegTest,104385,43,4_1,1.21455457967378,4_1_2,5,3,171613,73
IntegTest,164546,70,5_2,1.19849246231156,5_2,2,3,144296,70
IntegTest,125804,86,5_3,1.16582914572864,5_3,3,3,160575,86
IntegTest,97620,50,4_1,1.16185696361355,4_1_2,5,3,175797,96
IntegTest,150181,76,5_3,1.15326633165829,5_3,3,3,149602,76
IntegTest,132175,39,4_1,1.14429109159348,4_1_2,5,3,157226,46
IntegTest,196033,75,5_2,1.13316582914573,5_2,2,3,134338,75
IntegTest,184063,71,5_2,1.12562814070352,5_2,2,3,137666,71
IntegTest,119477,79,5_3,1.12311557788945,5_3,3,3,163590,81
IntegTest,229300,77,5_3,1.10804020100503,5_3,3,3,126045,77
IntegTest,250136,72,5_2,1.10552763819095,5_2,2,3,122876,72
IntegTest,153821,72,5_3,1.10301507537688,5_3,3,3,148227,72
IntegTest,160055,78,5_3,1.08793969849246,5_3,3,3,145685,78
IntegTest,180455,61,5_2,1.07537688442211,5_2,2,3,138503,61
IntegTest,138909,70,5_2,1.06532663316583,5_2,2,3,154436,72
IntegTest,159432,75,5_2,1.05527638190955,5_2,2,3,146048,75
IntegTest,198602,58,4_1,1.05144291091593,4_1_2,5,3,133275,58
IntegTest,183920,63,5_2,1.03015075376884,5_2,2,3,137607,63
IntegTest,168450,50,4_1,1.03136762860728,4_1_2,5,3,142560,50
IntegTest,112878,72,5_3,1.0251256281407,5_3,3,3,167211,73
IntegTest,216911,67,5_2,1.02261306532663,5_2,2,3,129409,67
IntegTest,255867,76,5_2,1.01256281407035,5_2,2,3,121259,75
IntegTest,144643,76,5_3,1.01005025125628,5_3,3,3,151813,76
IntegTest,157249,76,4_5,0.99748743718593,4_5,1,3,146789,76
IntegTest,148429,51,4_1,0.993726474278544,4_1_1,4,3,150284,51
IntegTest,92098,49,4_1,0.983688833124216,4_1_1,4,3,178438,106
IntegTest,279466,67,4_5,0.977386934673367,4_5,1,3,116852,67
IntegTest,96031,37,4_1,0.973651191969887,4_1_1,4,3,175674,106
IntegTest,122694,66,4_5,0.969849246231156,4_5,1,3,161321,67
IntegTest,116534,49,4_1,0.946047678795483,4_1_1,4,3,164884,62
IntegTest,109073,43,4_1,0.941028858218319,4_1_1,4,3,168644,65
IntegTest,206908,73,4_5,0.939698492462312,4_5,1,3,130852,72
IntegTest,146151,65,4_5,0.9321608040201,4_5,1,3,151306,65
IntegTest,207895,61,4_5,0.92964824120603,4_5,1,3,131081,61
IntegTest,239656,50,4_1,0.910915934755332,4_1_1,4,3,123382,50
IntegTest,157923,75,4_5,0.884422110552764,4_5,1,3,146328,75
IntegTest,155829,67,4_5,0.881909547738693,4_5,1,3,147195,67
IntegTest,123134,70,4_5,0.879396984924623,4_5,1,3,161644,72
IntegTest,191546,58,4_1,0.870765370138017,4_1_1,4,3,135954,58
IntegTest,166427,74,4_5,0.866834170854271,4_5,1,3,143150,74
IntegTest,102857,65,4_5,0.861809045226131,4_5,1,3,171884,79
IntegTest,159632,61,4_1,0.858218318695107,4_1_1,4,3,145964,61
IntegTest,111669,52,4_1,0.848180677540778,4_1_1,4,3,167494,64
IntegTest,133154,65,4_5,0.814070351758794,4_5,1,3,156793,65
IntegTest,123685,67,4_1,0.803011292346299,4_1_1,4,3,161481,72
IntegTest,165322,65,4_5,0.793969849246231,4_5,1,3,143894,65
