,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell1,0,0,0,6,43,6,0,72,0,42,26,76,7,0,207,24,179,17,118,166,1,4,0,4,48,13,1,8,43,0,344,44,317,130,58,53,116,234,35,7,2,81,8,216,46,29,405,17,16,1,17,76,11,26,102,39,13,0,109,10,117,93,13,0,45,5,106,8,28,11,433,2,1,16,152,26,25,6,1,7,13,12,6,0,143,5,68,112,3,0,68,25,6,953,0,1,18,145,2,14,4,1,0,56,35,7,14,18,53,13
cell2,19,4,1,8,11,9,0,59,133,63,11,82,5,0,216,31,289,11,114,117,14,2,0,0,33,23,10,12,58,0,507,29,346,113,34,80,99,116,41,10,21,89,16,246,8,11,317,17,47,182,3,84,8,64,134,45,24,0,111,12,85,30,4,0,121,4,135,15,22,23,574,59,4,9,45,26,23,3,0,7,5,23,8,1,139,9,37,74,7,9,50,0,16,782,7,2,3,205,5,47,3,0,6,142,41,14,8,28,20,777
cell3,1,6,0,8,39,3,1,65,46,15,4,86,4,0,149,20,264,6,106,207,1,0,0,0,121,14,12,10,53,1,452,53,273,113,76,77,94,264,30,6,12,82,9,209,35,30,109,44,41,80,15,81,2,80,88,26,12,0,112,8,120,45,12,0,97,5,93,14,19,17,492,6,0,4,125,44,17,4,40,5,2,17,7,1,196,22,31,80,5,1,64,0,7,870,13,4,21,152,0,22,2,0,13,51,35,10,11,33,38,474
cell4,24,76,5,12,0,29,2,220,78,11,10,68,2,0,21,6,32,3,22,0,4,1,0,0,2,15,0,29,21,31,6,2,8,15,47,9041,103,28,20,1,0,26,1,35,355,2,2,5,6,4,12,28,3,200,37,15,4,49,43,152,15,4,7,0,0,5,33,168,5,9,80,4,0,12,8,929,3,247,2,1,1,1,48,0,43,39,10,7822,82,3,13,0,1,20,5,1,2,68,1,4,24,3,0,46,17,1,11,274,6,22
cell5,24,1,1,5,10,5,2,70,159,12,5,91,3,0,91,42,187,18,114,245,12,9,0,0,29,28,3,3,44,0,447,11,303,168,35,84,84,160,29,11,10,47,10,207,48,17,251,35,29,8,18,84,7,47,86,34,22,0,107,6,50,18,11,0,70,3,119,18,14,9,367,63,0,9,80,44,5,6,27,13,14,25,12,14,92,6,39,99,4,1,68,31,13,380,6,3,23,129,3,36,1,0,5,77,28,3,9,60,19,438
cell6,4,18,13,17,0,38,0,310,19,2,3,46,0,0,45,9,42,1,14,0,2,3,0,1,4,18,0,54,18,22,8,1,11,6,30,7615,89,18,13,2,0,26,5,37,606,4,34,10,5,13,15,27,5,223,36,12,3,134,41,134,15,11,2,0,0,1,9,187,16,0,78,0,1,65,10,870,11,301,45,5,5,5,60,1,14,24,13,8093,98,1,18,0,0,19,1,3,6,49,0,6,35,1,0,19,18,1,11,173,10,8
cell7,86,8,9,3,566,19,0,336,0,19,8,67,0,0,33,2,48,10,20,1,4,0,0,0,9,4,0,62,7,23,4,9,10,19,34,7098,114,60,9,8,1,34,3,47,490,6,16,8,15,24,20,32,5,194,59,13,3,93,52,196,19,23,9,0,2,2,51,188,28,8,108,29,19,12,4,769,5,231,0,0,2,3,42,0,22,38,15,9242,33,3,19,0,1,43,3,4,13,57,1,5,5,0,0,41,12,8,10,177,9,12
cell8,11,13,1,1,63,19,1,106,150,29,8,48,4,0,21,18,65,12,119,8,4,11,0,0,0,4,5,14,14,0,57,11,77,40,29,139,101,89,4,1,7,38,10,85,54,3,79,16,20,3,13,26,2,69,55,13,7,9,39,16,24,42,3,0,21,1,31,27,16,7,120,5,10,7,39,49,19,8,0,9,1,5,8,20,60,14,22,155,8,2,22,0,13,111,4,1,5,80,0,26,3,0,5,17,23,5,11,36,247,278
cell9,40,5,0,2,107,6,3,87,292,37,10,144,3,0,184,27,366,11,118,378,23,12,0,2,139,46,6,8,36,1,353,106,551,226,95,84,135,249,30,7,10,65,9,214,46,49,356,26,40,125,22,88,2,72,137,35,31,0,99,8,98,49,8,0,124,9,70,18,12,18,562,20,5,12,150,31,7,3,0,14,8,26,4,0,169,10,21,121,4,6,105,7,7,899,4,4,14,209,1,21,7,1,10,73,37,13,5,31,41,680
cell10,7,18,1,35,0,45,0,234,39,2,2,62,2,0,36,9,44,8,21,2,3,0,0,1,3,3,5,81,10,40,12,0,7,9,20,6685,95,49,16,7,27,30,0,53,437,8,3,11,2,13,15,29,1,181,40,15,2,96,24,153,23,8,14,0,0,4,49,150,13,4,73,1,4,44,6,823,2,291,0,1,5,0,59,0,7,65,19,7491,134,0,16,0,2,4,3,1,7,70,0,6,5,0,0,7,16,14,9,110,5,15
