,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
1,882,2246,793,0,28005,155,96,16165,367,0,258,21684,7482,0,0,1059,0,0,604,2536,0,10962,0,36,61,715,422,5041,58,0,0,2201,26,1006,0,235,0,2861,0,0,0,0,254,0,3124,0,0,1129,0,8619,0,38,0,0,0,0,6111,8340,2049,0,191,0,168,626,2067,611,0,0,6515,0,0,1160,2397,104,0,0,16820,800,0,2768,1490,9742,0,0,0,1646,0,10862,0,876,1113,0,403,5609,5,326,88,2350,189,66,131,1965,0,282,3044,0,10,0,90,1177
2,11984,994,233,170,26214,68,0,591,286,0,174,39933,0,0,210,1128,0,0,2937,731,131,9703,0,0,12462,14,301,16790,0,1639,0,786,1788,49,0,36266,0,0,0,0,0,0,405,300,2731,0,0,6144,0,0,0,0,0,2436,0,0,44,33,0,487,1948,212,0,4054,36495,0,0,0,93,0,0,236,2046,0,0,0,42345,5431,60,3285,408,2785,0,1719,0,0,0,5608,0,588,199,2957,811,29743,1532,12697,2744,5664,0,0,0,11156,0,0,83,1296,1456,0,442,0
3,196,3054,2241,111,3436,0,33,486,240,29,1328,1431,3025,0,383,2758,815,25,1112,8381,0,2013,169,58,51,340,330,0,15,0,0,4556,366,601,254,59,530,205137,0,238,14547,23,167,3793,567,0,1534,179,121,1012,9,0,1302,409,959,37,1597,1372,3765,0,36,1387,197,58,180,6343,0,0,2336,10,2231,7719,244,0,0,0,2440,172,2735,111,0,7487,0,0,1057,5,3,344,0,0,706,16075,0,2074,0,73,127,9449,0,12,203,0,284,0,65,0,16,0,3,1796
4,5057,1968,5249,134,925,14307,22641,3180,34,0,0,705,0,0,0,82,0,0,13815,1343,0,1782,0,0,975,0,27,5321,447,0,0,1813,0,0,0,74394,3094,12247,0,0,0,500,0,0,9532,0,0,1794,455,0,0,0,0,477,226,0,5631,0,0,0,0,3171,0,942,743,176,0,0,560,0,0,407,5462,1374,0,0,19581,25815,0,6541,5645,4300,0,116,0,10736,0,43537,0,624,3329,182,230,24771,478,254,196,0,115,301,0,3678,398,0,893,0,86,121,278,594
5,167,4163,582,189,3936,0,9,3596,178,0,220,2261,3279,0,681,624,795,0,1140,9506,0,6127,196,25,8,424,349,1954,12,458,0,6484,551,0,140,155,1191,14385,106,0,10338,5,343,5736,134,0,800,323,139,1157,0,17,349,418,1015,68,0,0,8950,0,163,4039,358,78,63,5389,0,0,1246,0,3107,12185,66,0,127,0,1058,275,5062,300,55,718,0,6,1677,230,0,129,21,0,0,27590,0,1876,0,37,235,6568,0,9,908,0,0,143,196,0,0,0,0,2715
6,3018,41,38,0,14200,142,198,156,1002,0,19,10294,0,28,0,0,0,0,559,7073,0,7334,19,0,5278,89,1202,1671,0,506,0,2130,2240,96,0,34562,0,140,0,0,5336,0,1227,432,2409,0,16459,2614,718,0,0,0,70,611,0,195,742,173,0,130,3087,0,0,5511,38143,138,0,0,368,0,0,234,515,55,0,0,18818,81,0,1281,1478,2407,0,4080,0,0,0,4027,30,805,589,0,591,16950,0,7497,3291,664,0,35,26,2682,1189,0,22,0,47346,0,1604,259
7,3507,1845,580,28,168,0,0,243,79,0,134,382,868,0,6666,128,18862,140,1848,10885,0,1127,0,369,1497,197,33,1447,208,46,0,1912,165,0,33,2518,1124,137388,0,6,4170,210,1572,1467,0,0,5570,40,1945,4485,239,142,46,427,485,481,1464,965,0,1641,0,65795,16,245,143,106961,0,0,527,6,6579,2464,0,0,1087,0,3725,5468,20065,0,177,486,1463,0,284,2182,1117,527,0,0,533,537,0,17769,0,299,81,619,0,396,404,0,87,163,14,0,85,0,0,652
8,380,7110,1016,965,7417,152,491,10071,164,0,0,4835,0,1294,0,7869,24,0,0,1408,0,8836,0,0,0,317,397,0,0,0,0,1709,55,1742,0,3257,0,4131,0,0,0,0,1193,436,13557,0,0,1279,0,0,0,0,0,917,0,0,0,996,0,504,2562,0,0,825,2399,296,0,0,876,0,0,2156,3310,0,0,0,16666,838,0,3855,512,6372,0,86,475,9628,0,3664,0,11104,452,1627,4245,6455,204,921,0,1183,64,21,0,4682,217,0,6160,0,0,0,74,3049
9,1548,3228,1227,26,236,0,0,478,35,0,587,272,193,0,1884,167,4867,413,3225,8495,416,653,0,1029,0,677,16,1259,134,27,0,2338,598,338,289,2278,1371,414809,0,18,8333,39,1860,1847,1131,0,11856,664,1182,3264,0,73,0,779,463,590,145,964,190,0,2461,51040,12,51,122,67068,0,0,422,0,1813,3507,653,0,2778,0,2508,6274,287,0,0,1236,0,147,584,570,505,326,0,0,0,546,7,22572,70,363,321,524,859,639,360,61,128,0,30,0,180,0,108,79
10,591,1127,292,715,11384,25,256,11825,107,0,0,6348,1224,0,0,781,74,0,2669,7949,0,4299,0,46,251,373,543,5584,0,0,0,4374,78,0,0,1378,2222,0,0,552,2907,0,325,238,2822,0,0,212,9,0,0,35,1404,48,0,20,62972,420,0,286,1179,131,67,930,2170,635,0,0,244,16,0,0,3267,23,70,0,14229,264,0,3955,1015,1768,2221,792,0,1454,12,8095,0,4562,358,0,1414,2589,12,1299,0,128,2,6,96,1838,162,412,1350,95,1174,194,150,535
