,pop,depth,cell.type,cell.type.idx,batch
cell1,5_2,2,5_2,2,1
cell2,5_2,2,5_2,2,2
cell3,4_1,1.99247176913425,4_1_2,5,1
cell4,5_2,1.99497487437186,5_2,2,3
cell5,4_1,1.99247176913425,4_1_2,5,1
cell6,5_3,1.98994974874372,5_3,3,2
cell7,4_1,1.98996235884567,4_1_2,5,3
cell8,5_2,1.98492462311558,5_2,2,1
cell9,4_1,1.98494353826851,4_1_2,5,3
cell10,5_3,1.97989949748744,5_3,3,1
cell11,4_1,1.97992471769134,4_1_2,5,1
cell12,4_1,1.97741530740276,4_1_2,5,2
cell13,5_3,1.97236180904523,5_3,3,1
cell14,5_3,1.96984924623116,5_3,3,3
cell15,5_2,1.96733668341709,5_2,2,2
cell16,5_2,1.96482412060302,5_2,2,2
cell17,5_3,1.96231155778894,5_3,3,1
cell18,5_3,1.95979899497487,5_3,3,1
cell19,5_3,1.9572864321608,5_3,3,2
cell20,5_3,1.95477386934673,5_3,3,2
cell21,5_3,1.95226130653266,5_3,3,1
cell22,4_1,1.95232120451694,4_1_2,5,3
cell23,5_3,1.94723618090452,5_3,3,2
cell24,5_2,1.94472361809045,5_2,2,3
cell25,5_2,1.94221105527638,5_2,2,1
cell26,4_1,1.94228356336261,4_1_2,5,3
cell27,5_3,1.93718592964824,5_3,3,2
cell28,4_1,1.93726474278545,4_1_2,5,1
cell29,5_2,1.9321608040201,5_2,2,1
cell30,5_2,1.92964824120603,5_2,2,2
cell31,5_3,1.92713567839196,5_3,3,2
cell32,4_1,1.92722710163112,4_1_2,5,2
cell33,4_1,1.92471769134253,4_1_2,5,2
cell34,5_3,1.91959798994975,5_3,3,1
cell35,4_1,1.91969887076537,4_1_2,5,1
cell36,4_1,1.91718946047679,4_1_2,5,2
cell37,5_3,1.91206030150754,5_3,3,3
cell38,5_3,1.90954773869347,5_3,3,2
cell39,5_2,1.9070351758794,5_2,2,2
cell40,5_3,1.90452261306533,5_3,3,3
cell41,5_2,1.90201005025126,5_2,2,1
cell42,4_1,1.90213299874529,4_1_2,5,2
cell43,4_1,1.89962358845671,4_1_2,5,2
