orig.ident,nCount_ATAC,nFeature_ATAC,pop,depth,cell.type,cell.type.idx,batch,predicted.l1.score,predicted.l1
IntegTest,708,78,5_2,2,5_2,2,2,0.372872383007542,5_2
IntegTest,493,70,5_3,1.98994974874372,5_3,3,2,0.426709599497148,4_5
IntegTest,577,71,4_1,1.97741530740276,4_1_2,5,2,0.436001876782503,4_1
IntegTest,514,68,5_2,1.96733668341709,5_2,2,2,0.37007500015971,5_2
IntegTest,603,82,5_2,1.96482412060302,5_2,2,2,0.32518439563494,5_2
IntegTest,528,72,5_3,1.9572864321608,5_3,3,2,0.392066573648245,4_5
IntegTest,542,82,5_3,1.95477386934673,5_3,3,2,0.419562906545813,4_5
IntegTest,440,72,5_3,1.94723618090452,5_3,3,2,0.451260201328119,4_5
IntegTest,619,89,5_3,1.93718592964824,5_3,3,2,0.47446973514311,4_1
IntegTest,595,80,5_2,1.92964824120603,5_2,2,2,0.372998286324567,4_1
IntegTest,467,74,5_3,1.92713567839196,5_3,3,2,0.374159112928506,4_5
IntegTest,532,93,4_1,1.92722710163112,4_1_2,5,2,0.583761253637401,4_1
IntegTest,482,69,4_1,1.92471769134253,4_1_2,5,2,0.618705032004264,4_1
IntegTest,405,76,4_1,1.91718946047679,4_1_2,5,2,0.497774705340247,4_1
IntegTest,474,75,5_3,1.90954773869347,5_3,3,2,0.406506884120871,4_5
IntegTest,663,74,5_2,1.9070351758794,5_2,2,2,0.414929294066227,4_5
IntegTest,476,73,4_1,1.90213299874529,4_1_2,5,2,0.567107149975117,4_1
IntegTest,409,81,4_1,1.89962358845671,4_1_2,5,2,0.588370773758112,4_1
IntegTest,785,82,5_2,1.89195979899498,5_2,2,2,0.346881393235194,5_2
IntegTest,757,86,5_2,1.8894472361809,5_2,2,2,0.329634037690498,5_2
IntegTest,463,74,5_3,1.86180904522613,5_3,3,2,0.363067900490483,4_1
IntegTest,489,67,5_3,1.83668341708543,5_3,3,2,0.353614738398071,4_5
IntegTest,630,84,5_2,1.83417085427136,5_2,2,2,0.319244158197567,5_2
IntegTest,535,88,4_1,1.82685069008783,4_1_2,5,2,0.589086151488823,4_1
IntegTest,704,75,5_3,1.81909547738693,5_3,3,2,0.321232789300437,5_3
IntegTest,510,80,5_2,1.81155778894472,5_2,2,2,0.33271964906067,4_1
IntegTest,407,70,5_3,1.79396984924623,5_3,3,2,0.503673132927117,4_1
IntegTest,349,69,5_3,1.79145728643216,5_3,3,2,0.571198310802308,4_1
IntegTest,706,75,5_2,1.7713567839196,5_2,2,2,0.391399679161046,5_2
IntegTest,1091,76,5_2,1.76381909547739,5_2,2,2,0.409248983959261,5_2
IntegTest,791,78,5_2,1.75376884422111,5_2,2,2,0.356887262472624,4_5
IntegTest,510,65,5_3,1.74371859296482,5_3,3,2,0.642786310914218,4_1
IntegTest,557,75,4_1,1.74153074027603,4_1_2,5,2,0.664917100267872,4_1
IntegTest,558,75,5_2,1.73618090452261,5_2,2,2,0.382117518460433,5_2
IntegTest,538,82,5_2,1.73366834170854,5_2,2,2,0.365830414646032,5_2
IntegTest,549,74,5_2,1.72361809045226,5_2,2,2,0.308120484587392,5_2
IntegTest,613,84,5_2,1.7035175879397,5_2,2,2,0.341596408136677,4_1
IntegTest,470,70,5_2,1.67839195979899,5_2,2,2,0.300393201125779,4_1
IntegTest,638,79,5_2,1.65326633165829,5_2,2,2,0.343902706993609,5_2
IntegTest,601,73,5_2,1.65075376884422,5_2,2,2,0.44847882163833,4_5
IntegTest,391,66,5_3,1.63819095477387,5_3,3,2,0.407193532603024,5_3
IntegTest,691,86,5_2,1.6356783919598,5_2,2,2,0.472751810562483,4_1
IntegTest,507,68,5_3,1.63316582914573,5_3,3,2,0.305569924395083,4_5
IntegTest,474,87,5_3,1.62814070351759,5_3,3,2,0.436541364429353,4_1
