pop,depth,cell.type,cell.type.idx,batch
5_2,2,5_2,2,2
5_3,1.98994974874372,5_3,3,2
4_1,1.97741530740276,4_1_2,5,2
5_2,1.96733668341709,5_2,2,2
5_2,1.96482412060302,5_2,2,2
5_3,1.9572864321608,5_3,3,2
5_3,1.95477386934673,5_3,3,2
5_3,1.94723618090452,5_3,3,2
5_3,1.93718592964824,5_3,3,2
5_2,1.92964824120603,5_2,2,2
5_3,1.92713567839196,5_3,3,2
4_1,1.92722710163112,4_1_2,5,2
4_1,1.92471769134253,4_1_2,5,2
4_1,1.91718946047679,4_1_2,5,2
5_3,1.90954773869347,5_3,3,2
5_2,1.9070351758794,5_2,2,2
4_1,1.90213299874529,4_1_2,5,2
4_1,1.89962358845671,4_1_2,5,2
5_2,1.89195979899498,5_2,2,2
5_2,1.8894472361809,5_2,2,2
5_3,1.86180904522613,5_3,3,2
5_3,1.83668341708543,5_3,3,2
5_2,1.83417085427136,5_2,2,2
4_1,1.82685069008783,4_1_2,5,2
5_3,1.81909547738693,5_3,3,2
5_2,1.81155778894472,5_2,2,2
5_3,1.79396984924623,5_3,3,2
5_3,1.79145728643216,5_3,3,2
5_2,1.7713567839196,5_2,2,2
5_2,1.76381909547739,5_2,2,2
5_2,1.75376884422111,5_2,2,2
5_3,1.74371859296482,5_3,3,2
4_1,1.74153074027603,4_1_2,5,2
5_2,1.73618090452261,5_2,2,2
5_2,1.73366834170854,5_2,2,2
5_2,1.72361809045226,5_2,2,2
5_2,1.7035175879397,5_2,2,2
5_2,1.67839195979899,5_2,2,2
5_2,1.65326633165829,5_2,2,2
5_2,1.65075376884422,5_2,2,2
5_3,1.63819095477387,5_3,3,2
5_2,1.6356783919598,5_2,2,2
5_3,1.63316582914573,5_3,3,2
5_3,1.62814070351759,5_3,3,2
4_1,1.62860727728984,4_1_2,5,2
5_2,1.62311557788945,5_2,2,2
4_1,1.62107904642409,4_1_2,5,2
4_1,1.61856963613551,4_1_2,5,2
4_1,1.61104140526976,4_1_2,5,2
4_1,1.60351317440401,4_1_2,5,2
5_2,1.59798994974874,5_2,2,2
5_2,1.5929648241206,5_2,2,2
5_3,1.58793969849246,5_3,3,2
5_3,1.58291457286432,5_3,3,2
4_1,1.58343789209536,4_1_2,5,2
4_1,1.57590966122961,4_1_2,5,2
4_1,1.54579673776662,4_1_2,5,2
4_1,1.52572145545797,4_1_2,5,2
4_1,1.52321204516939,4_1_2,5,2
4_1,1.51066499372647,4_1_2,5,2
5_3,1.48994974874372,5_3,3,2
5_3,1.48743718592965,5_3,3,2
5_3,1.48241206030151,5_3,3,2
5_3,1.4748743718593,5_3,3,2
5_3,1.46231155778894,5_3,3,2
5_3,1.45477386934673,5_3,3,2
