,pop,depth,cell.type,cell.type.idx,batch
cell1,5_3,2,5_3,3,2
cell2,5_3,2,5_3,3,2
cell3,5_3,1.99748743718593,5_3,3,3
cell4,4_1,1.99247176913425,4_1_2,5,1
cell5,5_3,1.99246231155779,5_3,3,1
cell6,4_1,1.99247176913425,4_1_2,5,3
cell7,4_1,1.98996235884567,4_1_2,5,1
cell8,5_2,1.98492462311558,5_2,2,1
cell9,5_3,1.98241206030151,5_3,3,2
cell10,4_1,1.98243412797992,4_1_2,5,3
cell11,5_2,1.97738693467337,5_2,2,1
cell12,5_2,1.9748743718593,5_2,2,2
cell13,4_1,1.97490589711418,4_1_2,5,1
cell14,5_2,1.96984924623116,5_2,2,1
cell15,4_1,1.96988707653701,4_1_2,5,1
cell16,5_2,1.96482412060302,5_2,2,2
cell17,5_2,1.96231155778894,5_2,2,2
cell18,5_2,1.95979899497487,5_2,2,3
cell19,5_3,1.9572864321608,5_3,3,1
cell20,5_2,1.95477386934673,5_2,2,2
cell21,5_2,1.95226130653266,5_2,2,3
cell22,5_2,1.94974874371859,5_2,2,2
cell23,4_1,1.94981179422836,4_1_2,5,2
cell24,4_1,1.94730238393977,4_1_2,5,1
cell25,5_3,1.94221105527638,5_3,3,1
cell26,5_3,1.93969849246231,5_3,3,2
cell27,5_2,1.93718592964824,5_2,2,2
cell28,5_3,1.93467336683417,5_3,3,1
cell29,5_2,1.9321608040201,5_2,2,2
cell30,5_3,1.92964824120603,5_3,3,3
cell31,5_3,1.92713567839196,5_3,3,1
cell32,5_3,1.92462311557789,5_3,3,2
cell33,4_1,1.92471769134253,4_1_2,5,3
cell34,5_2,1.91959798994975,5_2,2,3
cell35,5_2,1.91708542713568,5_2,2,2
cell36,5_2,1.91457286432161,5_2,2,2
cell37,5_2,1.91206030150754,5_2,2,2
cell38,5_2,1.90954773869347,5_2,2,1
cell39,4_1,1.90966122961104,4_1_2,5,1
cell40,5_2,1.90452261306533,5_2,2,2
cell41,4_1,1.90464240903388,4_1_2,5,2
cell42,4_1,1.90213299874529,4_1_2,5,3
cell43,5_2,1.89698492462312,5_2,2,3
cell44,4_1,1.89711417816813,4_1_2,5,3
cell45,5_3,1.89195979899498,5_3,3,1
cell46,4_1,1.89209535759097,4_1_2,5,2
cell47,5_2,1.88693467336683,5_2,2,2
cell48,5_3,1.88442211055276,5_3,3,2
cell49,4_1,1.88456712672522,4_1_2,5,3
cell50,5_3,1.87939698492462,5_3,3,2
cell51,4_1,1.87954830614806,4_1_2,5,2
cell52,4_1,1.87703889585947,4_1_2,5,3
cell53,5_3,1.87185929648241,5_3,3,3
cell54,5_3,1.86934673366834,5_3,3,1
cell55,5_3,1.86683417085427,5_3,3,1
cell56,4_1,1.86700125470514,4_1_2,5,2
cell57,4_1,1.86449184441656,4_1_2,5,2
cell58,5_3,1.85929648241206,5_3,3,3
cell59,4_1,1.8594730238394,4_1_2,5,1
cell60,5_2,1.85427135678392,5_2,2,1
cell61,4_1,1.85445420326223,4_1_2,5,1
cell62,5_3,1.84924623115578,5_3,3,3
cell63,5_2,1.84673366834171,5_2,2,2
cell64,5_2,1.84422110552764,5_2,2,3
cell65,5_2,1.84170854271357,5_2,2,2
cell66,4_1,1.84190715181932,4_1_2,5,1
cell67,5_2,1.83668341708543,5_2,2,3
cell68,5_2,1.83417085427136,5_2,2,2
cell69,5_3,1.83165829145729,5_3,3,3
cell70,5_3,1.82914572864322,5_3,3,1
cell71,5_3,1.82663316582915,5_3,3,3
cell72,5_3,1.82412060301508,5_3,3,2
cell73,5_2,1.82160804020101,5_2,2,1
cell74,4_1,1.82183186951066,4_1_2,5,1
cell75,5_2,1.81658291457286,5_2,2,3
cell76,5_2,1.81407035175879,5_2,2,2
cell77,5_2,1.81155778894472,5_2,2,3
cell78,5_3,1.80904522613065,5_3,3,3
cell79,5_2,1.80653266331658,5_2,2,3
cell80,5_3,1.80402010050251,5_3,3,3
cell81,4_1,1.80426599749059,4_1_2,5,1
cell82,4_1,1.80175658720201,4_1_2,5,3
cell83,5_2,1.7964824120603,5_2,2,1
cell84,5_2,1.79396984924623,5_2,2,1
cell85,4_1,1.79422835633626,4_1_2,5,1
cell86,5_2,1.78894472361809,5_2,2,2
cell87,4_1,1.7892095357591,4_1_2,5,2
cell88,5_2,1.78391959798995,5_2,2,3
cell89,5_2,1.78140703517588,5_2,2,2
cell90,4_1,1.78168130489335,4_1_2,5,3
cell91,5_3,1.77638190954774,5_3,3,3
cell92,5_2,1.77386934673367,5_2,2,1
cell93,4_1,1.7741530740276,4_1_2,5,1
cell94,4_1,1.77164366373902,4_1_2,5,2
cell95,5_3,1.76633165829146,5_3,3,1
cell96,5_3,1.76381909547739,5_3,3,2
cell97,5_2,1.76130653266332,5_2,2,3
cell98,4_1,1.76160602258469,4_1_2,5,3
cell99,5_3,1.75628140703518,5_3,3,2
cell100,4_1,1.75658720200753,4_1_2,5,3
cell101,5_3,1.75125628140704,5_3,3,3
cell102,4_1,1.75156838143036,4_1_2,5,1
cell103,5_2,1.74623115577889,5_2,2,2
cell104,5_2,1.74371859296482,5_2,2,2
cell105,5_3,1.74120603015075,5_3,3,2
cell106,5_2,1.73869346733668,5_2,2,3
cell107,4_1,1.73902132998745,4_1_2,5,1
cell108,5_3,1.73366834170854,5_3,3,1
cell109,5_3,1.73115577889447,5_3,3,3
cell110,4_1,1.73149309912171,4_1_2,5,3
cell111,4_1,1.72898368883312,4_1_2,5,1
cell112,5_3,1.72361809045226,5_3,3,2
cell113,5_3,1.72110552763819,5_3,3,2
cell114,5_3,1.71859296482412,5_3,3,2
cell115,4_1,1.7189460476788,4_1_2,5,3
cell116,5_3,1.71356783919598,5_3,3,1
cell117,5_3,1.71105527638191,5_3,3,2
cell118,5_3,1.70854271356784,5_3,3,3
cell119,4_1,1.70890840652447,4_1_2,5,1
cell120,5_2,1.7035175879397,5_2,2,1
cell121,5_3,1.70100502512563,5_3,3,2
cell122,5_3,1.69849246231156,5_3,3,3
cell123,5_2,1.69597989949749,5_2,2,1
cell124,4_1,1.69636135508156,4_1_2,5,2
cell125,4_1,1.69385194479297,4_1_2,5,2
cell126,5_3,1.68844221105528,5_3,3,1
cell127,4_1,1.68883312421581,4_1_2,5,1
cell128,5_3,1.68341708542714,5_3,3,2
cell129,5_2,1.68090452261307,5_2,2,3
cell130,5_3,1.67839195979899,5_3,3,3
cell131,4_1,1.67879548306148,4_1_2,5,1
cell132,5_3,1.67336683417085,5_3,3,2
cell133,4_1,1.67377666248432,4_1_2,5,3
cell134,5_2,1.66834170854271,5_2,2,3
cell135,5_3,1.66582914572864,5_3,3,2
cell136,5_2,1.66331658291457,5_2,2,3
cell137,5_3,1.6608040201005,5_3,3,2
cell138,5_3,1.65829145728643,5_3,3,2
cell139,5_2,1.65577889447236,5_2,2,3
cell140,4_1,1.65621079046424,4_1_2,5,2
cell141,5_2,1.65075376884422,5_2,2,2
cell142,5_2,1.64824120603015,5_2,2,2
cell143,5_2,1.64572864321608,5_2,2,2
cell144,5_2,1.64321608040201,5_2,2,2
cell145,5_3,1.64070351758794,5_3,3,2
cell146,5_3,1.63819095477387,5_3,3,2
cell147,4_1,1.63864491844417,4_1_2,5,1
cell148,5_3,1.63316582914573,5_3,3,1
cell149,5_3,1.63065326633166,5_3,3,2
cell150,5_3,1.62814070351759,5_3,3,1
cell151,5_3,1.62562814070352,5_3,3,3
cell152,5_3,1.62311557788945,5_3,3,1
cell153,5_3,1.62060301507538,5_3,3,1
cell154,5_2,1.61809045226131,5_2,2,3
cell155,5_2,1.61557788944724,5_2,2,1
cell156,5_2,1.61306532663317,5_2,2,1
cell157,5_3,1.6105527638191,5_3,3,3
cell158,4_1,1.61104140526976,4_1_2,5,3
