orig.ident,nCount_ATAC,nFeature_ATAC,pop,depth,cell.type,cell.type.idx,batch,predicted.l1.score,predicted.l1
IntegTest,773,84,5_3,2,5_3,3,2,0.365327101042898,4_5
IntegTest,802,96,5_3,2,5_3,3,2,0.354558806418402,4_5
IntegTest,494,61,5_3,1.98241206030151,5_3,3,2,0.483008608920482,4_5
IntegTest,650,77,5_2,1.9748743718593,5_2,2,2,0.492429726515206,4_5
IntegTest,762,73,5_2,1.96482412060302,5_2,2,2,0.503318870784756,4_5
IntegTest,491,85,5_2,1.96231155778894,5_2,2,2,0.430266721561891,4_5
IntegTest,557,86,5_2,1.95477386934673,5_2,2,2,0.495625580438928,4_5
IntegTest,584,82,5_2,1.94974874371859,5_2,2,2,0.540303134583938,4_5
IntegTest,466,87,4_1,1.94981179422836,4_1_2,5,2,0.551586070268323,4_1
IntegTest,613,86,5_3,1.93969849246231,5_3,3,2,0.401827394049783,4_5
IntegTest,535,77,5_2,1.93718592964824,5_2,2,2,0.577358505082557,4_5
IntegTest,489,81,5_2,1.9321608040201,5_2,2,2,0.40309242976296,4_1
IntegTest,442,73,5_3,1.92462311557789,5_3,3,2,0.355481619136076,4_5
IntegTest,484,69,5_2,1.91708542713568,5_2,2,2,0.514563879442573,4_5
IntegTest,656,70,5_2,1.91457286432161,5_2,2,2,0.456250526274491,4_5
IntegTest,515,84,5_2,1.91206030150754,5_2,2,2,0.558927000508493,4_5
IntegTest,547,78,5_2,1.90452261306533,5_2,2,2,0.363890250586039,4_5
IntegTest,396,77,4_1,1.90464240903388,4_1_2,5,2,0.604057632477548,4_1
IntegTest,599,76,4_1,1.89209535759097,4_1_2,5,2,0.553286569700909,4_1
IntegTest,526,73,5_2,1.88693467336683,5_2,2,2,0.495209068710548,4_5
IntegTest,599,72,5_3,1.88442211055276,5_3,3,2,0.39286921750308,4_5
IntegTest,612,80,5_3,1.87939698492462,5_3,3,2,0.416131633106783,4_5
IntegTest,370,70,4_1,1.87954830614806,4_1_2,5,2,0.424315690328866,4_1
IntegTest,432,70,4_1,1.86700125470514,4_1_2,5,2,0.614379946260443,4_1
IntegTest,680,73,4_1,1.86449184441656,4_1_2,5,2,0.398923065557428,4_1
IntegTest,455,75,5_2,1.84673366834171,5_2,2,2,0.565597766548806,4_5
IntegTest,519,83,5_2,1.84170854271357,5_2,2,2,0.426778291186167,4_5
IntegTest,534,70,5_2,1.83417085427136,5_2,2,2,0.472051301388297,4_5
IntegTest,762,87,5_3,1.82412060301508,5_3,3,2,0.423101375743181,4_5
IntegTest,654,81,5_2,1.81407035175879,5_2,2,2,0.515252984036912,4_1
IntegTest,684,85,5_2,1.78894472361809,5_2,2,2,0.58843344832862,4_5
IntegTest,522,82,4_1,1.7892095357591,4_1_2,5,2,0.484323846099898,4_1
IntegTest,724,78,5_2,1.78140703517588,5_2,2,2,0.55448124522781,4_5
IntegTest,530,74,4_1,1.77164366373902,4_1_2,5,2,0.548139397219539,4_1
IntegTest,722,80,5_3,1.76381909547739,5_3,3,2,0.454564305323873,4_5
