orig.ident,nCount_RNA,nFeature_RNA,pop,depth,cell.type,cell.type.idx,batch,nCount_SCT,nFeature_SCT
IntegTest,212471,81,5_3,1.99748743718593,5_3,3,3,196072,81
IntegTest,154360,68,4_1,1.99247176913425,4_1_2,5,3,168184,68
IntegTest,199614,62,4_1,1.98243412797992,4_1_2,5,3,191774,62
IntegTest,121844,64,5_2,1.95979899497487,5_2,2,3,147131,64
IntegTest,176407,74,5_2,1.95226130653266,5_2,2,3,179698,74
IntegTest,204676,66,5_3,1.92964824120603,5_3,3,3,192128,66
IntegTest,195817,73,4_1,1.92471769134253,4_1_2,5,3,189875,73
IntegTest,228273,55,5_2,1.91959798994975,5_2,2,3,205233,60
IntegTest,182805,63,4_1,1.90213299874529,4_1_2,5,3,183163,63
IntegTest,284652,71,5_2,1.89698492462312,5_2,2,3,231819,76
IntegTest,174382,76,4_1,1.89711417816813,4_1_2,5,3,178837,76
IntegTest,196630,75,4_1,1.88456712672522,4_1_2,5,3,190028,75
IntegTest,178078,67,4_1,1.87703889585947,4_1_2,5,3,180818,67
IntegTest,142463,82,5_3,1.87185929648241,5_3,3,3,161791,82
IntegTest,146114,77,5_3,1.85929648241206,5_3,3,3,163162,77
IntegTest,132131,71,5_3,1.84924623115578,5_3,3,3,154745,71
IntegTest,137691,50,5_2,1.84422110552764,5_2,2,3,159944,51
IntegTest,173661,48,5_2,1.83668341708543,5_2,2,3,178693,48
IntegTest,161539,79,5_3,1.83165829145729,5_3,3,3,171253,79
IntegTest,161875,71,5_3,1.82663316582915,5_3,3,3,172577,71
IntegTest,195562,69,5_2,1.81658291457286,5_2,2,3,189881,69
IntegTest,131128,68,5_2,1.81155778894472,5_2,2,3,152891,69
IntegTest,167741,64,5_3,1.80904522613065,5_3,3,3,175994,64
IntegTest,121445,59,5_2,1.80653266331658,5_2,2,3,148374,61
IntegTest,123680,70,5_3,1.80402010050251,5_3,3,3,149106,71
IntegTest,163980,70,4_1,1.80175658720201,4_1_2,5,3,173037,70
IntegTest,177715,66,5_2,1.78391959798995,5_2,2,3,180405,66
IntegTest,196726,64,4_1,1.78168130489335,4_1_2,5,3,190388,64
IntegTest,194221,71,5_3,1.77638190954774,5_3,3,3,188786,71
IntegTest,111215,67,5_2,1.76130653266332,5_2,2,3,139515,72
IntegTest,172509,69,4_1,1.76160602258469,4_1_2,5,3,177732,69
IntegTest,250708,61,4_1,1.75658720200753,4_1_2,5,3,217168,66
IntegTest,168587,79,5_3,1.75125628140704,5_3,3,3,176065,79
IntegTest,140425,74,5_2,1.73869346733668,5_2,2,3,158686,74
IntegTest,155134,72,5_3,1.73115577889447,5_3,3,3,168689,72
IntegTest,171807,62,4_1,1.73149309912171,4_1_2,5,3,177400,62
IntegTest,164097,76,4_1,1.7189460476788,4_1_2,5,3,173317,76
IntegTest,128398,72,5_3,1.70854271356784,5_3,3,3,152910,72
IntegTest,148325,77,5_3,1.69849246231156,5_3,3,3,164651,77
IntegTest,176792,67,5_2,1.68090452261307,5_2,2,3,180023,67
IntegTest,158373,78,5_3,1.67839195979899,5_3,3,3,170211,78
IntegTest,181162,72,4_1,1.67377666248432,4_1_2,5,3,182293,72
IntegTest,141328,69,5_2,1.66834170854271,5_2,2,3,160665,70
IntegTest,130302,67,5_2,1.66331658291457,5_2,2,3,153033,67
IntegTest,205863,64,5_2,1.65577889447236,5_2,2,3,194777,64
IntegTest,203100,79,5_3,1.62562814070352,5_3,3,3,192717,79
IntegTest,179833,75,5_2,1.61809045226131,5_2,2,3,181550,75
IntegTest,163758,69,5_3,1.6105527638191,5_3,3,3,173361,69
IntegTest,210180,70,4_1,1.61104140526976,4_1_2,5,3,197207,70
IntegTest,293575,65,4_1,1.6060225846926,4_1_2,5,3,236965,71
IntegTest,189356,72,4_1,1.60100376411543,4_1_2,5,3,186553,72
IntegTest,166332,71,5_2,1.58291457286432,5_2,2,3,174120,71
IntegTest,174246,67,5_2,1.57537688442211,5_2,2,3,178776,67
IntegTest,193884,76,4_1,1.56587202007528,4_1_2,5,3,188936,76
IntegTest,166895,59,4_1,1.56085319949812,4_1_2,5,3,174839,59
IntegTest,176564,60,5_2,1.54522613065327,5_2,2,3,179819,60
IntegTest,169104,82,5_3,1.53768844221106,5_3,3,3,176056,82
IntegTest,195547,77,5_2,1.5251256281407,5_2,2,3,189350,77
IntegTest,230701,64,4_1,1.52572145545797,4_1_2,5,3,207337,69
IntegTest,189825,72,5_2,1.52010050251256,5_2,2,3,186645,72
IntegTest,175815,73,4_1,1.5207026348808,4_1_2,5,3,179433,73
IntegTest,202376,63,4_1,1.51819322459222,4_1_2,5,3,193386,63
IntegTest,226273,57,4_1,1.51568381430364,4_1_2,5,3,205307,62
IntegTest,217672,61,4_1,1.51317440401506,4_1_2,5,3,201448,64
IntegTest,181811,82,5_3,1.50502512562814,5_3,3,3,182667,82
IntegTest,161524,73,5_3,1.50251256281407,5_3,3,3,172288,73
IntegTest,197176,79,5_3,1.48743718592965,5_3,3,3,190462,79
IntegTest,214926,64,5_2,1.4748743718593,5_2,2,3,199050,64
IntegTest,147173,71,5_3,1.47236180904523,5_3,3,3,163669,72
IntegTest,222309,66,5_2,1.46733668341709,5_2,2,3,203390,71
IntegTest,195423,70,5_3,1.46482412060302,5_3,3,3,189616,70
IntegTest,222167,75,4_1,1.46549560853199,4_1_2,5,3,203196,79
IntegTest,220697,69,4_1,1.46298619824341,4_1_2,5,3,202439,73
IntegTest,158670,67,5_3,1.4572864321608,5_3,3,3,169638,67
IntegTest,162727,60,4_1,1.43287327478043,4_1_2,5,3,172326,60
IntegTest,216826,68,4_1,1.4228356336261,4_1_2,5,3,200418,71
IntegTest,192458,73,5_2,1.40452261306533,5_2,2,3,187924,73
IntegTest,156581,73,5_3,1.40201005025126,5_3,3,3,169033,73
IntegTest,156465,78,5_2,1.39949748743719,5_2,2,3,169314,78
IntegTest,170258,75,5_2,1.39698492462312,5_2,2,3,176928,75
IntegTest,182087,65,4_1,1.39774153074028,4_1_2,5,3,182794,65
IntegTest,153891,55,4_1,1.39523212045169,4_1_2,5,3,167861,55
IntegTest,211645,73,4_1,1.39272271016311,4_1_2,5,3,197473,73
IntegTest,159574,81,5_3,1.38190954773869,5_3,3,3,170213,81
IntegTest,171826,62,5_3,1.37688442211055,5_3,3,3,177058,62
IntegTest,144362,61,5_2,1.35678391959799,5_2,2,3,162092,61
IntegTest,170641,60,5_2,1.35427135678392,5_2,2,3,176972,60
IntegTest,146459,69,5_3,1.34924623115578,5_3,3,3,162278,69
IntegTest,272870,67,5_2,1.34673366834171,5_2,2,3,228374,73
IntegTest,166644,67,5_2,1.33668341708543,5_2,2,3,173942,67
IntegTest,187766,63,4_1,1.3375156838143,4_1_2,5,3,185723,63
IntegTest,130189,60,4_1,1.33249686323714,4_1_2,5,3,154578,60
IntegTest,176452,70,5_2,1.32663316582915,5_2,2,3,179876,70
IntegTest,152347,67,5_2,1.32412060301508,5_2,2,3,166049,67
IntegTest,147331,78,5_3,1.32160804020101,5_3,3,3,162632,78
IntegTest,184852,72,5_2,1.31155778894472,5_2,2,3,184239,72
IntegTest,145983,71,5_3,1.29145728643216,5_3,3,3,162135,71
IntegTest,154037,51,4_1,1.28983688833124,4_1_2,5,3,168032,51
IntegTest,158508,82,5_3,1.27889447236181,5_3,3,3,170134,82
IntegTest,167234,79,5_3,1.26381909547739,5_3,3,3,174674,79
IntegTest,172716,69,5_2,1.25879396984925,5_2,2,3,177908,69
IntegTest,188728,83,5_3,1.25628140703518,5_3,3,3,186021,83
IntegTest,204929,78,5_2,1.24371859296482,5_2,2,3,194464,78
