,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell1,4,89,103,5,213,23,45,40,10,16,17,91,33,52,340,58,32,137,3,17,13,134,6,10,21,9,4,7,47,26,3,5,30,5,3,1,41,281,27,25,11,10,17,5,73,8,2,15,12,218,4,0,35,338,32,67,22,1,94,8,7,12,0,17,15,51,172,24,8,20,169,106,0,24,27,9,8,34,279,3,1,131,2,12,70,51,8,131,49,3,5,1,1,979,8,2,63,31,1,10,92,1164,3,0,19,8,451,40,38,23
cell2,11,72,170,1,185,0,44,12,22,14,0,24,2,38,21,19,1,26,0,206,48,18,0,9,68,27,18,2,17,8,88,3,270,59,1,0,12,24,6,39,4,3,28,2,50,1,7,40,0,18,4,0,0,202,3,10,85,0,21,10,41,0,1,23,94,7,29,22,4,14,4,11,0,9,92,26,33,64,4,6,10,33,0,36,4,185,64,169,20,12,0,0,20,110,15,15,6,4,4,16,23,184,1,0,9,7,184,4,21,13
cell3,20,87,99,68,103,51,41,13,9,28,5,53,48,47,297,56,25,138,0,18,8,92,2,6,0,9,0,1,48,7,15,3,41,6,38,0,63,430,25,15,14,40,11,1,45,3,4,9,7,166,7,0,31,227,14,60,21,0,115,7,7,0,0,9,22,96,168,31,10,8,172,78,0,22,14,17,18,23,224,5,4,117,0,13,113,62,10,132,43,3,0,1,2,1172,9,3,21,37,0,1,89,1584,3,0,8,2,1183,21,29,79
cell4,33,67,157,0,404,0,43,33,14,11,0,29,11,33,26,11,10,6,0,55,39,36,0,4,56,38,12,1,16,8,52,23,252,39,0,6,15,49,12,26,3,11,17,6,44,2,16,42,1,40,26,0,5,126,3,10,133,0,26,9,47,0,0,58,84,10,28,27,9,13,14,12,0,4,78,50,40,81,8,4,24,42,0,45,11,217,34,27,22,6,0,0,22,168,21,1,8,1,8,16,21,198,2,0,9,12,311,3,75,21
cell5,13,95,109,36,224,3,45,38,30,18,3,117,15,0,189,49,92,115,0,31,13,121,0,12,40,4,0,2,53,12,7,5,34,12,26,9,75,506,23,6,10,19,14,77,76,6,0,13,21,261,7,0,19,308,34,58,16,0,101,21,24,0,0,10,19,79,157,44,8,14,133,64,2,16,11,38,18,23,21,12,5,134,7,11,107,80,10,341,6,6,0,1,2,1088,19,2,41,45,2,2,69,1743,4,0,11,4,502,29,137,25
cell6,0,37,313,8,0,0,56,65,2,74,15,239,43,47,52,52,122,65,2,1,5,206,2,11,0,12,1,5,32,31,10,2,17,7,17,36,33,254,5,27,16,5,14,16,76,2,1,58,7,248,7,0,22,161,28,44,150,0,63,22,7,3,4,39,92,56,132,57,2,15,208,75,39,33,8,165,110,151,94,96,139,262,7,107,138,483,298,780,40,16,0,0,20,1588,47,7,59,8,0,62,12,108,23,0,123,15,4,2,25,257
cell7,94,72,113,3,328,9,32,13,6,15,0,29,6,23,23,15,7,14,1,136,56,28,0,6,2,45,30,1,28,10,117,23,181,47,1,11,3,26,11,28,1,5,21,2,48,0,9,50,1,14,11,0,11,83,1,19,102,0,12,9,50,0,1,51,93,12,23,12,8,15,4,17,0,7,97,13,36,24,6,4,2,44,10,29,21,99,38,50,37,11,0,2,18,118,9,0,2,3,5,8,25,210,14,2,8,4,189,4,22,16
cell8,6,38,293,64,4,0,76,14,4,96,9,209,27,8,240,50,28,111,0,9,10,263,0,7,0,5,0,7,38,32,13,2,22,11,12,28,38,381,10,23,5,18,13,1,86,10,0,56,0,172,5,1,16,523,10,53,145,0,71,1,12,30,0,42,98,102,146,65,1,5,252,68,0,33,8,176,121,87,175,70,33,332,1,20,136,176,145,670,97,9,0,4,42,2294,56,0,25,18,0,22,20,98,93,0,89,161,39,1,16,290
cell9,29,54,337,39,19,3,65,22,15,103,19,266,24,131,134,45,113,99,1,5,6,179,1,14,19,9,4,11,49,31,8,2,19,7,20,3,65,154,5,32,8,4,17,50,143,8,0,77,3,179,8,0,31,769,27,58,126,0,73,3,9,0,0,115,112,95,150,69,8,4,217,63,80,30,3,107,62,389,205,95,64,327,11,103,136,330,223,1327,143,82,0,0,37,3686,63,5,32,17,2,45,8,27,10,33,117,41,17,4,14,419
cell10,49,50,338,80,124,9,39,10,0,102,1,274,47,44,170,50,101,67,0,6,9,348,0,17,20,10,2,5,46,20,10,0,16,7,14,0,31,329,7,17,3,27,11,17,146,12,3,26,25,222,13,0,9,123,24,52,126,0,91,8,7,0,0,64,95,84,136,60,3,5,267,67,15,48,2,132,57,315,54,95,34,368,3,61,176,553,331,1112,214,30,0,1,49,4060,51,4,55,14,5,30,17,86,51,0,92,80,6,3,16,277
