pop,depth,cell.type,cell.type.idx,batch
5_2,2,5_2,2,2
5_2,1.99246231155779,5_2,2,2
5_3,1.98743718592965,5_3,3,2
4_1,1.98745294855709,4_1_2,5,2
4_1,1.98243412797992,4_1_2,5,2
4_1,1.97741530740276,4_1_2,5,2
4_1,1.95984943538268,4_1_2,5,2
5_3,1.93718592964824,5_3,3,2
5_3,1.93467336683417,5_3,3,2
5_2,1.92964824120603,5_2,2,2
4_1,1.91718946047679,4_1_2,5,2
5_2,1.90954773869347,5_2,2,2
4_1,1.90966122961104,4_1_2,5,2
5_2,1.90452261306533,5_2,2,2
5_2,1.89195979899498,5_2,2,2
5_2,1.8894472361809,5_2,2,2
4_1,1.88958594730238,4_1_2,5,2
4_1,1.88205771643664,4_1_2,5,2
5_2,1.85929648241206,5_2,2,2
4_1,1.84943538268507,4_1_2,5,2
5_2,1.84170854271357,5_2,2,2
5_2,1.83668341708543,5_2,2,2
5_3,1.83165829145729,5_3,3,2
4_1,1.81932245922208,4_1_2,5,2
5_3,1.80653266331658,5_3,3,2
5_3,1.80402010050251,5_3,3,2
5_2,1.79899497487437,5_2,2,2
5_2,1.7713567839196,5_2,2,2
4_1,1.74905897114178,4_1_2,5,2
5_3,1.74371859296482,5_3,3,2
4_1,1.74153074027603,4_1_2,5,2
4_1,1.72396486825596,4_1_2,5,2
4_1,1.72145545796738,4_1_2,5,2
5_2,1.71608040201005,5_2,2,2
4_1,1.71643663739021,4_1_2,5,2
4_1,1.69134253450439,4_1_2,5,2
5_3,1.68592964824121,5_3,3,2
4_1,1.6762860727729,4_1_2,5,2
4_1,1.67377666248432,4_1_2,5,2
4_1,1.66122961104141,4_1_2,5,2
4_1,1.65872020075282,4_1_2,5,2
4_1,1.65621079046424,4_1_2,5,2
4_1,1.65370138017566,4_1_2,5,2
5_2,1.64572864321608,5_2,2,2
5_3,1.64070351758794,5_3,3,2
4_1,1.63613550815558,4_1_2,5,2
4_1,1.633626097867,4_1_2,5,2
5_2,1.62814070351759,5_2,2,2
5_2,1.62562814070352,5_2,2,2
5_3,1.62311557788945,5_3,3,2
5_3,1.62060301507538,5_3,3,2
5_2,1.61557788944724,5_2,2,2
5_3,1.6105527638191,5_3,3,2
5_2,1.60552763819095,5_2,2,2
5_3,1.60050251256281,5_3,3,2
4_1,1.58594730238394,4_1_2,5,2
4_1,1.58343789209536,4_1_2,5,2
5_3,1.57788944723618,5_3,3,2
5_2,1.5678391959799,5_2,2,2
5_2,1.56532663316583,5_2,2,2
5_2,1.55025125628141,5_2,2,2
5_2,1.54522613065327,5_2,2,2
4_1,1.5207026348808,4_1_2,5,2
5_3,1.51256281407035,5_3,3,2
4_1,1.51317440401506,4_1_2,5,2
5_3,1.50502512562814,5_3,3,2
5_2,1.49497487437186,5_2,2,2
5_2,1.4748743718593,5_2,2,2
4_1,1.46549560853199,4_1_2,5,2
5_2,1.4572864321608,5_2,2,2
5_2,1.44472361809045,5_2,2,2
5_2,1.42964824120603,5_2,2,2
4_1,1.43036386449184,4_1_2,5,2
5_3,1.42211055276382,5_3,3,2
5_3,1.41206030150754,5_3,3,2
4_1,1.4077791718946,4_1_2,5,2
5_3,1.39949748743719,5_3,3,2
4_1,1.40025094102886,4_1_2,5,2
5_2,1.38693467336683,5_2,2,2
5_3,1.36934673366834,5_3,3,2
5_2,1.3643216080402,5_2,2,2
5_3,1.35929648241206,5_3,3,2
5_3,1.35678391959799,5_3,3,2
4_1,1.3525721455458,4_1_2,5,2
4_1,1.34755332496863,4_1_2,5,2
5_3,1.34170854271357,5_3,3,2
