,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
1,0,206,844,0,464,27,269,2643,0,1537,381,141,2133,1077,1301,270,18,20427,0,2207,0,622,773,0,78,444,0,47,1490,3668,0,0,92,77,0,0,79,620,14,8,10,0,0,0,349,0,0,126,0,25599,1937,0,44,9363,50,4315,2450,0,179,0,0,1175,0,273,110,156,1044,1232,28,11,1076,3973,0,131,370,0,0,1114,1555,0,329,4628,0,0,73,772,0,7164,14335,0,121,34,0,52388,0,0,2537,11,0,51,1119,5233,32,0,494,44,3628,1184,140,1487
2,4509,1424,52036,0,1780,0,2754,0,0,0,0,2432,0,704,3377,38,0,1081,0,14517,7863,272,0,394,1885,409,249,0,745,270,1752,0,2284,5054,0,0,0,1507,2165,1135,0,0,233,0,101,0,640,1196,0,382,0,0,0,1856,320,197,883,0,0,928,2062,0,0,193,582,0,2939,1633,17,232,0,5122,0,0,2522,236,2045,1121,0,0,89,324,0,3831,148,20251,599,29917,327,25,0,0,1148,1406,513,52,307,0,0,0,14,2974,0,0,84,1502,26978,0,0,500
3,741,297,6665,730,1800,2345,2506,515,46,183,0,55,6364,41,12510,218,557,17603,0,107,1155,1106,0,42,0,286,0,0,2155,0,0,8,3708,836,640,0,617,2126,1438,25,318,0,56,0,1182,0,0,0,593,8720,0,0,182,475,8,263,134,0,228,0,0,0,0,0,46,166,8140,2663,86,411,1480,196,0,176,25,694,136,164,547,38,178,11896,0,415,763,38,18,3726,275,0,0,0,0,6158,642,0,0,237,0,0,164,8667,0,0,171,0,13947,955,15,899
4,564,64,13900,0,10566,0,2585,2593,0,0,0,37,1583,465,5347,53,0,0,0,266,1788,1320,0,391,7182,2964,3831,52,549,0,403,100,10737,4171,0,7887,518,398,1844,276,0,22,0,254,2995,0,1054,507,0,6191,258,0,0,787,102,221,1119,0,150,36,1589,0,0,1802,1876,70,3229,15166,36,0,64,33,0,0,162,2350,806,584,43,80,280,11295,0,231,331,583,252,122,238,0,0,0,1764,3317,4536,0,0,0,3317,152,470,2077,0,0,1327,0,7003,214,205,742
5,360,122,313,12,178,0,539,3501,76,467,0,116,0,0,911,209,219,18080,0,560,204,1065,0,0,333,0,0,0,355,0,0,0,313,126,990,261,382,1447,187,24,0,17,0,5336,398,0,0,0,0,20473,0,0,178,9008,56,1959,0,0,259,0,370,0,0,0,401,798,822,1368,0,0,568,734,0,47,0,225,48,0,0,0,0,6055,0,0,329,661,0,14765,0,1036,0,0,0,42777,3208,0,2873,70,0,0,719,7428,50,0,0,0,4462,1535,854,0
6,0,223,15121,0,0,0,826,1017,0,282,28,204,276,57,1895,81,5477,17776,0,0,1683,3912,0,275,0,148,237,0,735,491,38,10,1000,0,344,4315,239,1345,1967,38,533,0,110,1142,1139,0,0,531,1413,12683,0,0,333,350,163,271,620,0,202,124,286,0,57,969,958,140,9292,4706,0,144,1530,239,1263,649,5,7710,585,590,221,1100,1242,16906,0,734,311,705,597,30560,133,282,0,0,94,8646,1595,0,10427,40,0,1145,21,849,354,0,2176,251,0,0,8,12295
7,12828,163,2441,0,1219,261,685,2998,131,3430,0,0,0,1797,283,0,0,11138,0,23810,7634,1041,0,440,0,399,2848,0,1232,3050,764,0,1902,2492,0,0,0,181,572,39,0,0,5193,0,255,0,427,8875,0,0,10761,0,699,5007,0,3938,4933,0,0,48,8931,0,0,4476,4983,0,43,484,77,33,0,0,0,39,601,222,611,1283,0,0,82,976,3043,0,85,1626,104,8125,12275,864,0,0,3019,4589,0,0,0,0,0,0,368,2097,285,0,2497,53,1733,0,311,1417
8,0,94,1361,71,2,0,194,511,0,1505,0,135,2050,196,766,204,55,22598,0,0,123,1310,0,75,0,0,0,0,1966,383,18,0,166,51,1849,445,202,1202,284,30,0,23,0,0,312,797,0,964,0,9606,0,0,162,14465,0,3011,10613,0,74,0,374,481,0,2628,1537,485,651,2422,0,0,1376,1897,0,38,0,781,188,1672,438,453,308,9092,0,4665,281,2140,171,19776,3340,392,0,0,9681,72921,5236,0,562,0,0,37,428,376,1440,0,3571,783,561,0,133,12777
9,568,291,11029,0,178,0,1691,446,32,592,23,184,2476,161,5195,57,3910,18406,0,22,0,1629,0,0,668,0,1440,18,1003,297,0,0,0,0,103,0,566,459,0,62,89,0,59,94,2978,177,0,1035,0,4833,246,0,337,1673,26,103,199,0,79,0,231,0,0,203,430,98,3266,6250,10,159,956,71,1151,829,8,2288,142,1009,837,529,458,14426,36,460,212,189,187,58289,203,569,0,0,4642,14066,1015,96,183,27,0,49,0,19,0,465,1341,660,18,78,18,14786
10,763,29,1165,76,114,0,241,134,0,1984,0,242,1581,757,360,134,252,1822,0,402,0,1412,0,278,53,244,0,0,1117,45,19,0,35,0,352,0,156,664,31,24,0,5,145,507,242,605,0,752,204,11826,850,0,0,1950,61,3868,3213,0,64,0,1211,0,0,1626,1357,758,322,1374,0,7,1347,1155,1206,39,0,251,67,2885,93,708,196,6233,0,5906,215,3161,180,26456,21001,3373,0,0,12568,107777,1024,0,3040,5,0,159,737,124,835,0,3446,331,33,0,101,7344
