pop,depth,cell.type,cell.type.idx,batch
5_2,1.99748743718593,5_2,2,3
5_3,1.99497487437186,5_3,3,3
4_1,1.99247176913425,4_1_2,5,3
4_1,1.98494353826851,4_1_2,5,3
4_1,1.97992471769134,4_1_2,5,3
5_2,1.97236180904523,5_2,2,3
4_1,1.9723964868256,4_1_2,5,3
5_2,1.96733668341709,5_2,2,3
4_1,1.94981179422836,4_1_2,5,3
4_1,1.94479297365119,4_1_2,5,3
4_1,1.93475533249686,4_1_2,5,3
4_1,1.9297365119197,4_1_2,5,3
5_3,1.92211055276382,5_3,3,3
4_1,1.92220828105395,4_1_2,5,3
5_3,1.90201005025126,5_3,3,3
5_2,1.89949748743719,5_2,2,3
5_3,1.89447236180905,5_3,3,3
4_1,1.8870765370138,4_1_2,5,3
5_3,1.87437185929648,5_3,3,3
5_3,1.86934673366834,5_3,3,3
5_3,1.8643216080402,5_3,3,3
5_2,1.85175879396985,5_2,2,3
5_2,1.84924623115578,5_2,2,3
5_3,1.8391959798995,5_3,3,3
4_1,1.83688833124216,4_1_2,5,3
4_1,1.83186951066499,4_1_2,5,3
5_2,1.82663316582915,5_2,2,3
4_1,1.82183186951066,4_1_2,5,3
5_3,1.81155778894472,5_3,3,3
5_2,1.80150753768844,5_2,2,3
5_2,1.7964824120603,5_2,2,3
4_1,1.79673776662484,4_1_2,5,3
5_3,1.78894472361809,5_3,3,3
5_3,1.78391959798995,5_3,3,3
5_3,1.77889447236181,5_3,3,3
5_2,1.77638190954774,5_2,2,3
4_1,1.76913425345044,4_1_2,5,3
5_3,1.76381909547739,5_3,3,3
5_2,1.75628140703518,5_2,2,3
4_1,1.75407779171895,4_1_2,5,3
5_3,1.74874371859296,5_3,3,3
5_2,1.73618090452261,5_2,2,3
5_3,1.73366834170854,5_3,3,3
5_3,1.72613065326633,5_3,3,3
5_2,1.70603015075377,5_2,2,3
5_3,1.70100502512563,5_3,3,3
5_2,1.69597989949749,5_2,2,3
5_3,1.69346733668342,5_3,3,3
4_1,1.69385194479297,4_1_2,5,3
5_3,1.67839195979899,5_3,3,3
4_1,1.67126725219573,4_1_2,5,3
5_3,1.6608040201005,5_3,3,3
5_2,1.63819095477387,5_2,2,3
5_2,1.61306532663317,5_2,2,3
5_2,1.60804020100502,5_2,2,3
5_2,1.59045226130653,5_2,2,3
5_2,1.55527638190955,5_2,2,3
4_1,1.55583437892095,4_1_2,5,3
5_2,1.54773869346734,5_2,2,3
5_3,1.53768844221106,5_3,3,3
5_3,1.52763819095477,5_3,3,3
5_2,1.5251256281407,5_2,2,3
5_2,1.52261306532663,5_2,2,3
4_1,1.51066499372647,4_1_2,5,3
5_3,1.48994974874372,5_3,3,3
5_3,1.48743718592965,5_3,3,3
